commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,321_Wood_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,F010_Personal_consumption_expenditures,F02E_Nonresidential_private_fixed_investment_in_equipment,F02N_Nonresidential_private_fixed_investment_in_intellectual_property_products,F02R_Residential_private_fixed_investment,F02S_Nonresidential_private_fixed_investment_in_structures,F030_Change_in_private_inventories,F040_Exports_of_goods_and_services,F050_Imports_of_goods_and_services,F06C_Federal_national_defense_Consumption_expenditures,F06E_Federal_national_defense_Gross_investment_in_equipment,F06N_Federal_national_defense_Gross_investment_in_intellectual_property_products,F06S_Federal_national_defense_Gross_investment_in_structures,F07C_Federal_national_nondefense_Consumption_expenditures,F07E_Federal_national_nondefense_Gross_investment_in_equipment,F07N_Federal_national_nondefense_Gross_investment_in_intellectual_property_products,F07S_Federal_national_nondefense_Gross_investment_in_structures,F10C_State_and_local_Consumption_expenditures,F10E_State_and_local_Gross_investment_in_equipment,F10N_State_and_local_Gross_investment_in_intellectual_property_products,F10S_State_and_local_Gross_investment_in_structures,GFE_Federal_government_enterprises,GFG_Federal_general_government
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,4233,169,2953,1510,1907,1431,20804,4061,136,79,314,874,565,1000,5182,941,928,901,2334,1682,493,549,1997,1304,226,1163,27043,14030,28202,1248,23449,15646,2575,6968,20850,18815,8389,2064,12005,3041,2329,7954,2250,101538,0,0,0,0,0,75467,0,0,0,0,0,0,0,0,0,0,0,0,0,640,510
5411_Legal_services,435,97,2792,741,1061,5218,7541,980,169,101,295,349,269,456,3162,677,337,241,1539,1092,2963,219,1471,3003,202,1022,14270,5177,1977,264,10948,29415,22862,585,18546,9559,8581,394,20048,3861,2389,3346,3436,98630,0,0,23652,0,0,12998,-3242,0,0,0,0,0,0,0,0,0,0,0,0,1512,1349
5412OP_Miscellaneous_professional_scientific_and_technical_services,2054,791,4037,3069,4230,13687,64954,12864,897,486,1883,2004,1731,2129,11755,4249,2461,2585,6780,4879,6033,1321,5110,5285,1788,4427,101407,88336,11537,1949,109137,126092,96688,9751,145460,50492,49189,5409,82088,11691,12329,32896,22513,70300,28814,405629,2671,0,0,141387,-94876,0,0,51581,0,0,0,75468,0,0,0,19123,0,2529,44342
5415_Computer_systems_design_and_related_services,452,54,4290,283,24,1910,6315,934,97,23,247,243,401,400,960,471,274,280,1392,1964,322,98,523,1424,185,424,13856,8919,2386,378,19723,19575,2538,546,24256,20037,11333,1634,16120,1085,861,2214,3020,0,22616,197510,0,0,0,25730,-31030,0,274,7718,0,0,0,19892,0,0,52,8379,0,585,35102
55_Management_of_companies_and_enterprises,0,0,9663,3344,889,24,7967,22486,1102,1031,916,2717,1023,9832,25068,2993,2108,1248,8370,14529,10730,1827,11629,5315,613,3082,77598,50543,15096,568,13209,19775,2692,3976,33023,95,52197,4372,40284,3929,19035,52110,7646,0,0,0,0,0,0,4073,0,0,0,0,0,0,0,0,0,0,0,0,0,519,0
561_Administrative_and_support_services,750,68,757,804,970,18760,10930,3901,411,393,822,1684,2912,1676,5277,2083,1425,2814,7231,2097,2365,523,3348,3978,381,1421,61289,36589,33074,5207,71610,40262,104736,13957,89969,8734,61677,3858,94506,6476,7686,11878,12867,59847,0,0,0,0,0,2051,-1742,0,0,0,0,0,0,0,0,0,0,0,0,3158,15698
562_Waste_management_and_remediation_services,276,14,940,293,186,761,3242,1417,102,10,133,332,99,457,2082,341,269,374,420,225,91,70,221,154,107,130,2357,3330,1052,909,419,2029,12536,322,1675,640,11130,598,5167,770,1353,2696,1536,24527,0,0,0,0,0,118,-210,0,0,0,0,0,0,0,0,0,0,0,0,241,730
61_Educational_services,16,4,0,0,0,277,11,0,0,0,0,0,78,9,0,3,0,0,0,0,0,0,0,0,0,0,2240,5861,185,0,307,29,0,0,147,0,1006,4122,17,1781,0,0,3760,342046,0,0,0,0,0,2748,-1463,0,0,0,0,0,0,0,0,0,0,0,0,172,1429
621_Ambulatory_health_care_services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,107,0,29999,124,0,0,136,1002207,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407
622_Hospitals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6253,0,0,0,0,1029943,0,0,0,0,0,1984,-3975,0,0,0,0,0,0,0,0,0,0,0,0,0,0
