commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,321_Wood_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,F010_Personal_consumption_expenditures,F02E_Private_fixed_investment_in_equipment,F02N_Private_fixed_investment_in_intellectual_property_products,F02T_Private_fixed_investment_in_structures,F030_Change_in_private_inventories,F040_Exports_of_goods_and_services,F050_Imports_of_goods_and_services,F06C_National_defense_Consumption_expenditures,F06E_National_defense_Gross_investment_except_structures,F06S_National_defense_Gross_investment_in_structures,F07C_Nondefense_Consumption_expenditures,F07E_Nondefense_Gross_investment_except_structures,F07S_Nondefense_Gross_investment_in_structures,F10C_State_and_local_government_consumption_expenditures,F10E_State_and_local_government_gross_investment_except_structures,F10S_State_and_local_government_gross_investment_in_structures,GFE_Federal_government_enterprises,GFG_Federal_general_government,GSLE_State_and_local_government_enterprises,GSLG_State_and_local_general_government,T001_Total_Intermediate,T004_Total_Final_Uses_GDP
44RT_Retail_trade,482,63,103,311,77,493,9045,1687,355,319,1325,751,301,94,1224,806,459,674,1503,2498,1718,994,6406,1298,844,576,667,1105,1578,5,422,107,1693,122,296,2,433,78,1099,55,87,260,959,508350,9538,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,2,0,0,43376,517907
481_Air_transportation,31,49,145,114,43,326,612,1297,152,140,132,393,200,46,919,370,137,358,483,559,889,144,837,549,100,154,2173,1588,936,10,1051,2556,1672,235,1880,52,1330,105,2020,101,164,723,792,38212,289,0,0,12,22255,-8934,0,54,0,0,11,0,0,19,0,1479,2468,59,2979,33548,51920
482_Rail_transportation,672,103,43,1221,35,1440,2022,2468,337,34,450,744,275,182,2065,587,1156,1771,451,322,199,188,1037,167,167,155,213,254,427,1,156,37,392,16,111,10,139,24,520,19,45,420,182,5786,951,0,0,185,4219,-171,0,33,0,0,8,0,0,71,0,636,711,254,577,23431,11082
483_Water_transportation,74,74,137,132,55,202,212,679,36,6,34,59,22,274,303,83,100,289,38,24,16,12,55,18,10,28,39,52,231,0,15,12,40,9,48,22,63,7,43,180,4,51,43,4236,3,0,0,13,6522,3875,0,0,0,0,0,0,0,0,0,128,1391,199,337,5887,14649
484_Truck_transportation,1606,267,109,1117,330,1360,4978,6814,1016,671,880,2083,1029,358,3782,1602,1186,2309,1641,1285,1041,677,2599,641,522,761,1735,1305,18464,111,870,249,1250,174,1536,55,1087,236,2635,151,394,1499,868,25075,3990,0,0,554,9992,-2153,0,154,0,0,46,0,0,285,0,991,3490,366,1677,79804,37943
485_Transit_and_ground_passenger_transportation,0,22,64,39,15,83,134,363,44,51,47,97,74,24,246,94,40,88,108,121,211,46,202,141,30,51,409,427,447,4,287,935,491,66,477,19,443,50,561,40,64,190,208,13550,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,8,116,71,4211,11958,13583
486_Pipeline_transportation,33,4,499,15,4,4509,36,12,3,2,3,8,2,12001,1120,3,6,7,6,4,3,3,3,3,2,3,13,31,1342,1,5,5,16,0,6,4,23,2,12,2,2,6,11,677,0,0,0,1,1527,0,0,0,0,0,0,0,0,0,0,7,25,108,109,20020,2204
487OS_Other_transportation_and_support_activities,376,102,202,16,69,110,0,649,17,13,21,50,34,280,249,77,34,248,27,31,45,6,95,48,4,37,8880,6367,32921,186,81,299,112,985,156,9,149,24,143,431,865,77,95,2317,0,0,0,0,5392,0,0,0,0,0,0,0,0,0,0,0,0,8,464,55091,7708
493_Warehousing_and_storage,1483,4,3,12,0,7,10,21,10,3,4,7,28,21,190,4,4,3,121,4,31,3,12,12,4,3,1546,9425,1815,255,139,160,406,66,431,1,474,39,156,24,56,98,103,268,0,0,0,0,431,0,0,0,0,0,0,0,0,0,0,0,206,234,957,18600,699
511_Publishing_industries_except_internet_includes_software,31,7,0,25,0,10,0,5,1,0,31,31,188,1,84,14,1,110,7,14,2478,5,15,14,3,23,416,199,243,13,4571,449,64,192,1568,111,199,1493,1663,91,110,128,1192,30298,0,13599,0,282,5420,-2525,0,342,0,0,313,0,0,763,0,302,275,317,3895,20586,48491
512_Motion_picture_and_sound_recording_industries,0,2,0,0,0,1,62,196,3,11,2,7,5,6,111,7,0,0,10,13,35,12,26,4,5,27,181,538,60,0,19154,100,35,249,832,28,89,442,511,20,25,78,396,14717,0,15730,0,0,4061,-172,0,0,0,0,0,0,0,0,0,0,308,0,78,23667,34336
513_Broadcasting_and_telecommunications,459,76,122,75,97,222,2361,114,101,98,109,213,270,94,547,230,163,187,327,411,772,171,226,293,114,235,6246,4104,3747,38,20786,5325,4385,469,5522,16241,3746,589,5566,391,837,887,2250,95143,4890,8235,0,0,3494,0,0,0,0,0,0,0,0,0,0,185,2389,403,7776,99968,111762
514_Data_processing_internet_publishing_and_other_information_services,54,18,47,52,15,455,179,343,28,57,30,71,94,57,444,48,42,194,35,247,284,2,39,494,41,69,2513,448,2480,16,4388,3933,333,649,4269,621,732,1537,3069,76,140,282,492,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1243,51,3082,33818,305
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,1337,324,715,608,204,1829,5282,3975,651,610,619,1177,848,906,2901,1104,655,1112,1523,1690,2516,680,2340,1682,511,718,6706,11290,6299,42,3538,21848,22423,2130,4842,3240,3164,407,5464,1005,4371,3334,2332,81303,0,0,0,0,4226,-444,0,0,0,0,0,0,0,0,0,511,1147,993,7588,149190,85085
523_Securities_commodity_contracts_and_investments,6,9,17,26,3,404,62,74,9,9,18,37,16,115,249,108,9,53,45,53,248,26,122,129,18,50,213,377,473,2,241,44721,591,47,879,2516,246,445,728,11,15,35,693,36695,0,0,0,0,4479,0,0,0,0,0,0,0,0,0,0,25,1,225,4998,59391,41175
524_Insurance_carriers_and_related_activities,1134,175,152,215,29,468,5614,1069,164,146,173,312,234,173,629,265,212,313,333,342,483,135,585,362,132,192,1097,2427,2860,24,961,95596,10024,3945,1126,162,1333,298,2888,138,187,559,1144,133262,0,0,3440,0,1848,-1902,0,0,0,0,0,0,0,0,0,166,3085,296,883,143239,136647
525_Funds_trusts_and_other_financial_vehicles,0,2,0,0,0,59,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,14,0,0,0,3,3,101,0,0,9581,838,539,36,1,300,0,126,0,0,0,0,25307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11621,25307
531_Real_estate,11385,180,0,242,164,931,2771,271,266,462,266,260,897,166,623,646,296,223,958,828,1768,321,695,673,385,560,11154,31486,4570,431,6124,11451,57485,1929,17511,1311,5217,9286,35720,2179,2514,10808,16065,634498,0,0,36513,0,723,0,0,0,0,0,0,0,0,0,0,603,2514,1643,8697,264936,671733
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,1075,233,15973,770,94,293,7688,1395,208,261,321,400,695,688,1218,540,257,487,531,616,1171,254,695,903,190,388,3986,2668,6014,20,5627,2498,4326,2028,3459,2566,2159,430,7612,778,581,931,1645,25660,0,0,0,0,20032,-18,0,0,0,0,0,0,0,0,0,65,399,430,2863,88428,45674
5411_Legal_services,62,361,1003,340,30,1591,1555,412,152,55,90,55,98,516,2763,181,189,226,432,361,1952,125,1573,903,59,449,2859,2358,3420,70,3085,8183,7524,246,6709,1817,2251,285,9103,380,397,1002,1256,44863,0,0,6421,0,1622,-531,0,0,0,0,0,0,0,0,0,59,753,375,4433,72096,52375
5412OP_Miscellaneous_professional_scientific_and_technical_services,1564,375,910,538,416,1420,41698,13696,423,2012,419,668,599,651,12010,1234,439,626,1261,1857,4357,1154,2693,1243,761,2514,18718,29520,6719,137,14655,16741,18713,1655,39505,9483,8266,2747,16065,3130,3286,9007,12442,24215,13994,106345,442,0,8045,-4084,0,35608,0,0,32225,0,0,5526,0,521,18775,3585,15250,344461,222317
5415_Computer_systems_design_and_related_services,6,3,4,4,2,59,26,23,8,4,6,19,17,11,30,16,11,31,20,23,75,5,17,76,4,7,660,247,335,2,765,880,46,155,988,1001,120,342,731,13,23,37,70,0,3713,41802,0,0,3214,-486,0,3191,0,0,4357,0,0,2394,0,59,1091,90,603,8759,58186
55_Management_of_companies_and_enterprises,0,38,1169,1033,1822,59,710,13890,1236,1905,417,2320,1396,848,7946,1851,1051,1136,2910,5003,6732,1486,2761,2961,742,1396,9010,20197,2522,2,2433,4180,362,522,1612,0,4073,195,5415,878,914,10,1569,0,0,0,0,0,12311,0,0,0,0,0,0,0,0,0,0,0,25,48,21,116805,12311
561_Administrative_and_support_services,13,204,281,546,213,914,7036,2524,470,1935,450,807,840,352,2354,835,571,801,1407,1298,2286,551,1533,1520,513,743,11483,12233,3593,423,5564,9327,19863,1058,18904,1163,7637,1970,18157,1487,3691,3693,5622,16422,0,0,0,0,357,-1164,0,0,0,0,0,0,0,0,0,580,911,463,7646,166467,15614
562_Waste_management_and_remediation_services,565,12,1,0,0,116,734,442,93,103,56,315,79,296,1116,169,136,435,232,166,150,50,662,219,45,57,628,1470,1998,0,220,624,3828,44,216,30,3031,69,1824,195,751,1254,795,5055,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,271,585,3,6797,30882,5063
61_Educational_services,0,98,13,52,0,183,0,13,2,0,22,31,33,46,273,38,7,10,34,34,85,8,337,136,15,15,31,0,137,0,630,51,7,0,303,0,107,14,292,2,0,0,317,83690,0,0,0,0,281,-752,0,0,0,0,0,0,0,0,0,0,6273,29,1840,11522,83219
621_Ambulatory_health_care_services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,56,0,0,0,12062,0,0,0,0,288054,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,445,0,2748,15366,288058
