commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,321_Wood_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,F010_Personal_consumption_expenditures,F02E_Private_fixed_investment_in_equipment,F02N_Private_fixed_investment_in_intellectual_property_products,F02T_Private_fixed_investment_in_structures,F030_Change_in_private_inventories,F040_Exports_of_goods_and_services,F050_Imports_of_goods_and_services,F06C_National_defense_Consumption_expenditures,F06E_National_defense_Gross_investment_except_structures,F06S_National_defense_Gross_investment_in_structures,F07C_Nondefense_Consumption_expenditures,F07E_Nondefense_Gross_investment_except_structures,F07S_Nondefense_Gross_investment_in_structures,F10C_State_and_local_government_consumption_expenditures,F10E_State_and_local_government_gross_investment_except_structures,F10S_State_and_local_government_gross_investment_in_structures,GFE_Federal_government_enterprises,GFG_Federal_general_government,GSLE_State_and_local_government_enterprises,GSLG_State_and_local_general_government,T001_Total_Intermediate,T004_Total_Final_Uses_GDP
321_Wood_products,739,21,29,127,7,785,23026,116,61,21,10609,2370,24,67,133,70,447,279,335,384,203,218,613,277,3895,945,1497,158,530,6,572,59,4328,9,98,4,431,59,424,54,52,71,137,882,4,0,4210,403,2816,-6616,0,0,0,0,1,0,0,0,0,120,27,290,122,54850,1700
322_Paper_products,997,102,7,54,4,114,1631,13299,375,334,213,30144,18360,176,5887,2488,1775,156,1086,822,1178,875,630,64,911,1507,5412,4675,265,17,8076,891,961,137,1569,97,1501,499,2906,145,403,1801,1091,10360,0,0,0,520,8826,-13688,0,0,0,0,0,0,0,0,0,154,467,53,2934,117245,6018
323_Printing_and_related_support_activities,7,17,8,9,0,75,136,1956,9,31,13,153,6290,5,746,44,25,21,173,46,171,23,41,47,18,79,4238,201,756,7,11182,4415,1376,35,3873,343,1761,693,2943,116,240,357,5694,1960,0,0,0,105,936,-731,0,0,0,0,0,0,0,0,0,654,804,145,3510,53486,2270
324_Petroleum_and_coal_products,3629,456,535,1840,1055,2281,10412,1235,305,181,418,1162,292,10490,3218,434,705,1022,660,541,380,309,597,380,250,328,1752,3569,23402,71,741,662,2411,377,1012,320,2347,417,1588,205,335,436,1241,70596,0,0,0,343,9810,-16256,0,0,0,0,0,0,0,0,0,1192,3031,4531,13094,105849,64494
325_Chemical_products,8399,1530,932,1190,956,454,6073,4110,13528,1265,762,9119,2930,1897,74491,29458,3128,1809,3440,1061,2095,2335,3963,1063,929,2621,1341,373,435,2,921,86,1749,121,1722,242,2639,332,17526,153,347,290,1598,69435,1581,0,0,1267,35415,-30570,0,0,0,0,0,0,0,0,0,146,3343,1341,8892,223137,77128
326_Plastics_and_rubber_products,923,170,14,625,3,461,7837,7475,587,632,367,3188,1745,411,7402,6287,683,468,2112,3083,6129,2336,11759,2170,1823,2403,1680,1453,2005,9,1106,134,2041,545,997,31,861,181,9082,205,589,1906,1384,12061,228,0,0,561,5225,-9106,0,0,0,0,54,0,0,0,0,71,439,190,1701,97704,9022
327_Nonmetallic_mineral_products,367,13,224,212,755,694,23823,4339,216,12,644,141,19,419,1093,877,7663,1471,912,848,1031,1323,2102,520,328,465,341,360,466,1,445,55,4305,107,300,23,82,302,1240,20,439,573,526,4422,0,0,0,87,2760,-7046,0,0,0,0,0,0,0,0,0,122,158,588,491,61459,223
331_Primary_metals,103,0,704,481,1299,179,6066,16,6,3,46,494,160,33,518,493,456,34685,37602,18463,4616,7384,18525,5370,2145,3411,255,30,465,0,130,10,1021,1,16,4,17,15,73,4,11,24,67,663,17,0,0,92,7540,-21352,0,0,0,0,0,0,0,0,0,35,308,83,131,145956,-13041
332_Fabricated_metal_products,830,337,516,1111,651,1323,36167,13704,27,86,1768,882,82,372,4158,1528,579,3087,14943,13131,10188,3007,12445,7101,2940,1801,1096,1343,2913,13,1586,191,6941,274,394,96,599,149,1341,117,107,173,1980,6565,6052,0,0,213,8243,-12330,0,2128,0,0,141,0,0,371,0,275,3657,426,1167,157599,11382
333_Machinery,1107,95,366,2385,935,670,9188,478,391,141,231,676,1039,73,1869,882,345,1794,1899,11870,1199,601,6386,3000,144,439,1469,668,1232,15,564,587,1866,217,1312,11,1220,298,1060,91,74,255,1959,4779,100324,0,0,549,33872,-37443,0,2966,0,0,1010,0,0,4661,0,142,1124,843,2380,65593,110716
334_Computer_and_electronic_products,29,11,4,6,21,329,2863,34,3,2,2,37,193,22,1504,109,30,28,356,898,60298,1862,6367,9590,10,1127,2646,375,494,3,9270,633,617,243,4647,891,2309,381,1610,15,18,34,1348,24000,89210,0,0,31,59613,-77385,0,19866,0,0,3449,0,0,3686,0,39,10739,93,957,123095,122468
335_Electrical_equipment_appliances_and_components,604,37,130,297,0,773,15093,170,14,9,294,78,21,43,304,161,128,1114,676,6628,5349,4366,2600,1329,51,392,413,435,1077,1,736,65,2929,89,897,33,569,153,540,72,104,117,978,18936,12952,0,0,277,10530,-16859,0,1078,0,0,299,0,0,836,0,146,698,739,700,52153,28049
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,579,126,77,452,5,93,871,118,7,13,195,36,72,35,25,35,54,726,157,3487,15,281,68393,2404,74,15,1278,7823,1571,8,277,67,279,838,241,50,1426,85,262,41,40,181,6234,112330,72350,0,0,1345,37473,-88502,0,1869,0,0,566,0,0,6482,0,598,558,288,1416,101906,143913
3364OT_Other_transportation_equipment,0,38,0,4,0,3,39,0,0,0,1,0,0,0,0,0,0,3,0,15,0,12,49,28349,0,2,43,1,4129,0,8,29,3,8,0,0,0,6,3,76,3,0,167,6843,17256,0,0,-1082,40681,-14556,0,23709,0,0,3397,0,0,800,0,27,24008,118,28,57172,77047
337_Furniture_and_related_products,56,0,5,6,0,148,5165,9,3,2,212,13,4,10,15,6,5,39,8,6,768,14,44,76,396,39,10,17,83,0,107,6,897,1,8,1,12,11,24,2,9,7,20,20037,17087,0,0,123,1199,-4920,0,17,0,0,150,0,0,1751,0,104,2,73,4,8453,35443
339_Miscellaneous_manufacturing,84,10,21,43,6,77,2058,59,57,612,717,50,144,13,197,192,76,47,155,669,308,226,548,130,61,3574,703,779,210,3,219,468,509,231,637,1,384,228,8877,189,155,359,1648,40341,15759,0,0,767,7044,-26543,0,161,0,0,173,0,0,1154,0,65,437,67,3784,30086,38857
42_Wholesale_trade,8411,773,712,1681,654,1606,19591,32314,4277,4010,3481,6187,3110,7076,17883,7516,2471,7700,8317,10193,15517,4486,15097,4464,2613,4288,12102,3162,7884,27,6013,879,4220,476,2295,310,1988,584,7575,333,809,7199,3080,113343,41267,338,685,1914,46868,17476,0,3500,0,0,737,0,0,2740,0,671,3775,1716,8121,267643,228868
44RT_Retail_trade,659,58,101,386,142,567,8894,1426,382,339,1168,694,240,100,1256,685,539,729,1295,2171,1635,833,5080,1106,743,478,664,997,3034,10,437,142,1650,109,357,2,433,111,1080,59,121,193,733,477650,8106,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,1,0,0,41837,485812
481_Air_transportation,75,61,92,104,31,251,644,995,118,116,87,375,217,44,739,262,132,275,436,571,1225,224,755,781,86,128,2958,1124,1017,9,1279,2862,1049,246,2988,43,866,403,1290,67,98,409,945,37926,895,0,0,11,21093,-8715,0,175,0,0,29,0,0,46,0,1362,1911,64,1395,31210,51460
482_Rail_transportation,654,88,35,1103,50,1324,2088,2459,307,60,410,767,282,187,1984,566,1235,2062,422,297,187,176,1017,155,160,208,222,221,406,1,174,37,387,17,103,9,122,33,464,15,48,414,158,5685,897,0,0,152,3982,-181,0,40,0,0,7,0,0,71,0,759,599,256,457,23183,10653
483_Water_transportation,67,47,75,100,40,195,218,541,38,8,36,71,23,320,293,86,104,265,39,35,30,14,58,21,12,34,56,56,253,0,18,15,44,16,46,18,74,9,60,136,7,47,43,3436,61,0,3,6,6683,3863,0,5,0,0,1,0,0,3,0,121,947,178,206,5121,14061
484_Truck_transportation,1577,195,86,958,284,1160,5162,6222,902,588,625,1752,875,354,3524,1393,1107,2399,1481,1148,995,571,2297,561,435,655,1443,1263,17971,111,871,314,1314,181,1072,45,869,214,2085,125,347,1402,752,23088,3639,0,0,326,7810,-1347,0,154,0,0,46,0,0,255,0,1729,3310,371,1246,74339,33972
485_Transit_and_ground_passenger_transportation,0,17,40,33,10,59,179,240,35,41,41,74,104,19,180,79,39,71,96,112,194,42,154,111,30,56,511,701,789,4,331,1095,625,97,436,19,424,73,424,56,122,255,234,11699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,104,94,3761,12231,11699
486_Pipeline_transportation,32,4,552,17,5,3636,47,10,5,2,4,11,3,12431,904,8,7,12,6,5,4,3,4,3,2,3,16,32,950,1,5,7,21,0,8,4,21,4,15,2,3,4,11,621,0,0,0,6,1407,0,0,0,0,0,0,0,0,0,0,11,28,74,107,19041,2034
487OS_Other_transportation_and_support_activities,205,58,103,25,44,116,44,446,25,11,29,67,30,264,250,89,61,223,32,36,38,9,74,38,7,34,8313,5377,29693,164,55,449,318,623,111,7,126,20,96,415,533,56,76,2237,0,0,0,0,5305,0,0,0,0,0,0,0,0,0,0,0,0,18,356,49163,7542
493_Warehousing_and_storage,2268,3,2,11,0,6,8,18,8,3,3,6,24,17,170,3,3,3,103,3,27,2,11,10,3,3,1408,7775,1609,218,116,186,333,48,306,1,446,32,120,17,45,88,81,266,0,0,0,0,450,0,0,0,0,0,0,0,0,0,0,0,173,188,750,16661,716
511_Publishing_industries_except_internet_includes_software,45,6,3,41,0,14,62,12,6,3,26,25,362,2,63,21,9,81,21,27,1632,12,24,20,9,28,361,227,233,13,3471,615,71,167,1297,96,184,1555,1541,80,112,127,1343,29144,0,9410,0,352,4371,-2149,0,253,0,0,198,0,0,531,0,221,275,312,3712,18568,42110
512_Motion_picture_and_sound_recording_industries,0,1,0,0,0,0,37,114,2,7,1,5,3,4,64,4,0,0,6,8,25,7,16,3,3,14,281,347,53,0,17336,65,21,187,461,23,56,427,449,11,15,44,352,14200,0,13687,0,0,3313,-143,0,0,0,0,0,0,0,0,0,25,366,0,82,20922,31057
513_Broadcasting_and_telecommunications,484,43,94,61,102,187,2241,98,90,90,96,195,229,95,483,224,283,207,327,430,774,175,338,410,101,178,5818,3991,3190,35,22208,5485,3291,435,5169,13528,3094,548,4103,283,725,865,1915,82664,5037,7169,0,0,2879,0,0,0,0,0,0,0,0,0,0,196,2235,307,6255,91711,97749
514_Data_processing_internet_publishing_and_other_information_services,32,19,26,58,12,401,110,230,26,38,20,52,104,43,288,57,32,135,77,221,248,20,35,337,29,43,1592,374,1858,14,4212,4243,206,744,5301,541,455,1015,2673,53,87,203,378,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,986,45,2502,30204,100
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,2009,230,485,748,130,1509,7776,2868,535,579,562,885,706,953,2382,948,669,973,1305,1459,2435,745,1891,1636,578,622,7674,8596,6554,39,3496,24808,18279,3299,5273,2570,2805,331,3756,799,3724,3510,1782,67807,0,0,0,0,7479,-380,0,0,0,0,0,0,0,0,0,308,1221,559,7925,142927,74905
523_Securities_commodity_contracts_and_investments,4,5,12,27,2,249,32,54,8,7,14,31,12,87,144,57,8,40,32,39,143,18,81,72,16,30,119,198,273,2,142,34992,390,27,513,1579,155,293,408,5,11,25,433,27321,0,0,0,0,3979,0,0,0,0,0,0,0,0,0,0,23,1,155,3008,43975,31300
524_Insurance_carriers_and_related_activities,2080,148,81,174,19,721,4271,797,144,129,174,345,239,226,585,272,203,341,341,359,483,133,681,312,117,181,866,1534,2925,21,635,93924,16818,3434,796,134,1318,324,2163,72,132,304,850,111737,0,0,3029,0,2414,-3686,0,0,0,0,0,0,0,0,0,137,2255,429,971,143600,113494
525_Funds_trusts_and_other_financial_vehicles,0,1,0,0,0,44,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,11,0,0,0,2,2,74,0,0,12357,724,369,23,1,231,0,79,0,0,0,0,23491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13932,23491
531_Real_estate,11636,139,0,329,161,712,2734,588,214,404,197,235,780,162,495,521,278,189,796,736,1720,272,521,743,344,429,11011,28916,4804,425,5694,12251,57061,1613,15945,1168,4319,9271,30358,1983,1780,10260,13817,570615,0,0,32106,0,732,0,0,0,0,0,0,0,0,0,0,702,1752,1207,7558,247229,603452
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,880,238,14578,927,116,339,8680,1395,246,359,324,721,892,622,1245,645,375,650,739,826,1389,329,944,1046,257,487,5781,4454,5625,19,5228,3521,3387,1608,4232,2361,2333,529,6932,713,727,1011,1691,20131,0,0,0,0,15432,-10,0,0,0,0,0,0,0,0,0,107,345,332,2517,92703,35553
5411_Legal_services,82,240,552,239,21,943,1478,436,130,88,90,68,253,361,1720,166,168,202,347,347,1517,170,1085,839,81,378,3265,7694,2459,65,2609,7032,6252,245,5248,1527,1777,355,6035,318,417,1613,1078,40963,0,0,5568,0,971,-339,0,0,0,0,0,0,0,0,0,39,677,348,3284,64339,47162
5412OP_Miscellaneous_professional_scientific_and_technical_services,1071,319,1048,643,302,1029,43354,12929,610,1870,697,862,853,751,11763,1458,993,1644,1902,2642,4764,1435,4332,2137,1145,2640,19521,28639,6533,134,11402,17884,16410,1838,34229,8582,7656,2629,11718,2999,3067,8952,10003,20733,12093,92322,391,0,6471,-3414,0,41853,0,0,28144,0,0,4995,0,536,17891,2891,11957,328661,203587
5415_Computer_systems_design_and_related_services,3,3,3,9,2,65,17,20,6,3,4,18,22,10,25,19,11,25,20,24,55,6,18,54,3,5,449,201,275,2,894,1219,31,226,1609,908,79,233,758,10,14,31,64,0,2485,40244,0,0,2532,-358,0,3449,0,0,4405,0,0,2645,0,63,897,82,509,9002,55402
55_Management_of_companies_and_enterprises,0,34,1053,1116,2041,51,650,12774,1133,1708,401,2285,1275,842,7154,1748,997,1218,2771,4858,6323,1367,2769,3211,733,1122,8694,18255,2363,2,2225,4073,351,470,1315,0,3974,182,4426,660,822,9,1458,0,0,0,0,0,9269,0,0,0,0,0,0,0,0,0,0,0,22,44,18,108997,9269
561_Administrative_and_support_services,8,147,173,440,151,705,5714,1886,506,1305,350,635,669,280,1877,641,499,678,1181,1149,1828,417,1203,1215,548,558,12623,8751,2742,448,4369,8827,17598,972,18130,1016,7341,1931,15145,1493,3152,3459,6059,15282,0,0,0,0,270,-647,0,0,0,0,0,0,0,0,0,617,1579,417,8355,149788,14906
562_Waste_management_and_remediation_services,805,18,59,279,0,200,693,694,262,98,154,1096,136,294,1061,372,254,581,373,260,235,81,617,230,107,235,484,1063,1415,1,1082,960,2339,41,241,29,3427,52,1146,140,639,733,566,4428,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,257,365,14,3895,28084,4432
61_Educational_services,0,71,12,55,0,161,0,12,2,0,18,30,28,54,278,35,9,14,36,36,112,9,327,119,15,13,24,0,113,0,506,55,7,0,211,0,100,11,151,1,0,0,168,71988,0,0,0,0,159,-417,0,0,0,0,0,0,0,0,0,0,5151,29,1076,9051,71730
621_Ambulatory_health_care_services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,29,0,0,0,9130,0,0,0,0,237373,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,474,0,2188,11847,237381
622HO_Hospitals_and_nursing_and_residential_care_facilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284567,0,0,0,0,32,-12,0,0,0,0,0,0,0,0,0,0,2966,0,1621,4587,284587
624_Social_assistance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,2174,2238,37097
711AS_Performing_arts_spectator_sports_museums_and_related_activities,0,10,11,7,2,18,26,50,1,8,6,13,11,6,41,15,3,10,7,18,58,11,57,41,9,15,426,119,47,2,3663,162,106,20,310,486,245,22,135,4526,300,2296,123,16503,0,1257,0,0,30,-154,0,0,0,0,0,0,0,0,0,1,143,1,31,13616,17636
713_Amusements_gambling_and_recreation_industries,0,26,55,25,19,67,89,163,22,22,27,59,49,91,168,61,40,105,58,73,108,21,106,70,17,36,374,358,591,3,148,319,177,41,381,116,229,44,352,71,41,100,120,38732,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,4,239,7,341,5637,38748
721_Accommodation,73,38,98,146,31,126,495,601,97,110,86,242,251,56,448,161,105,190,335,329,647,175,412,542,72,112,1754,887,727,12,627,1331,1171,143,2390,164,787,84,918,72,112,268,603,32370,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,23,582,27,2432,21094,32420
722_Food_services_and_drinking_places,29,66,155,152,45,201,989,1071,219,247,211,340,418,131,927,370,231,354,598,729,1005,243,812,546,193,333,3426,3653,2883,16,1362,3449,2895,407,2419,710,1735,2159,4087,224,200,997,920,226644,0,0,0,0,291,0,0,0,0,0,0,0,0,0,0,84,843,97,2630,45811,226934
81_Other_services_except_government,1455,361,67,194,26,259,8174,1596,679,290,420,1164,654,707,2293,1095,683,1969,1024,603,1074,319,7057,778,209,530,7135,5433,5601,20,2746,1782,3089,1660,5403,3518,2787,721,4392,953,1237,2119,4112,206370,0,0,0,4,849,-478,0,0,0,0,0,0,0,0,0,531,906,493,4914,93231,206745
GFE_Federal_government_enterprises,27,29,1,33,5,346,602,292,93,142,59,98,282,44,228,94,72,117,150,189,328,95,370,171,55,154,2159,2666,407,23,1888,6539,1543,470,3402,66,1602,351,5051,227,307,317,1701,6703,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,292,917,184,2290,36481,6873
GFG_Federal_general_government,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297680,0,0,106490,0,0,0,0,0,0,0,0,0,0,404170
GSLE_State_and_local_government_enterprises,62,36,1,12,0,17,67,410,72,126,52,210,66,23,184,67,96,132,147,226,150,61,146,69,68,96,330,407,351,4,172,87,412,216,143,10,53,26,283,42,188,218,218,19878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,138,570,581,7082,19878
GSLG_State_and_local_general_government,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544016,0,0,0,0,0,0,0,544016
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,37,11,1057,180,0,39,2,742,62,59,12,142,81,335,4065,343,209,243,211,626,1021,424,1149,166,39,204,4265,137,13557,0,5914,5590,42,159,1887,232,1393,18,40,260,104,93,332,-21221,0,0,0,14,54582,-91485,0,0,0,0,0,0,0,0,0,1986,11269,0,41,58778,-58110
T005_Total_Intermediate,102105,13020,31760,29559,10489,62660,284431,308809,48260,43324,37335,79196,46663,135552,187815,69093,36995,95028,93065,95462,145020,39275,191456,86218,25845,36647,162079,189168,176017,2266,153307,268766,230352,24380,144151,44469,71931,33150,195924,20837,30386,118159,89409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17704,123054,40304,190519,4661413,0
