commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,321_Wood_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,F010_Personal_consumption_expenditures,F02E_Nonresidential_private_fixed_investment_in_equipment,F02N_Nonresidential_private_fixed_investment_in_intellectual_property_products,F02R_Residential_private_fixed_investment,F02S_Nonresidential_private_fixed_investment_in_structures,F030_Change_in_private_inventories,F040_Exports_of_goods_and_services,F050_Imports_of_goods_and_services,F06C_Federal_national_defense_Consumption_expenditures,F06E_Federal_national_defense_Gross_investment_in_equipment,F06N_Federal_national_defense_Gross_investment_in_intellectual_property_products,F06S_Federal_national_defense_Gross_investment_in_structures,F07C_Federal_national_nondefense_Consumption_expenditures,F07E_Federal_national_nondefense_Gross_investment_in_equipment,F07N_Federal_national_nondefense_Gross_investment_in_intellectual_property_products,F07S_Federal_national_nondefense_Gross_investment_in_structures,F10C_State_and_local_Consumption_expenditures,F10E_State_and_local_Gross_investment_in_equipment,F10N_State_and_local_Gross_investment_in_intellectual_property_products,F10S_State_and_local_Gross_investment_in_structures,GFE_Federal_government_enterprises,GFG_Federal_general_government
322_Paper_products,232,2,36,93,10,2,2683,19261,939,227,512,39977,16662,119,6003,4025,2132,898,1604,2330,3085,1425,1819,448,1259,2815,2757,2423,2441,66,7882,1956,234,537,2229,205,1936,129,3431,106,1522,1569,621,17356,0,0,0,0,253,14410,-20203,0,0,0,0,0,0,0,0,0,0,0,0,26,1206
323_Printing_and_related_support_activities,50,0,18,8,0,22,34,219,0,1976,24,0,5008,7,1013,0,0,0,4,28,0,11,3,0,0,0,4772,3470,729,2,14659,5404,43,396,8121,1025,3195,902,4096,1101,1008,669,1755,2630,0,0,0,0,1303,1429,-1439,0,0,0,0,0,0,0,0,0,0,0,0,114,1888
324_Petroleum_and_coal_products,3443,596,2368,1337,231,16674,21841,1379,140,94,600,763,1802,6337,13091,630,390,1330,986,1252,812,733,287,133,163,425,1549,1867,29782,33,1128,5820,871,694,1277,742,5932,235,1408,581,751,1862,1316,89766,0,0,0,0,249,12476,-46015,0,0,0,0,0,0,0,0,0,0,0,0,638,7397
325_Chemical_products,11074,1299,2228,1469,353,418,6041,5645,15027,519,2219,8191,5445,2224,109524,39359,3844,1079,6210,3744,8297,3464,4915,1096,1905,5927,764,524,467,168,2342,1100,7067,343,5240,749,2593,552,52273,240,62,219,2382,121687,3371,0,0,0,3845,68763,-99643,0,0,0,0,0,0,0,0,0,0,0,0,58,2201
326_Plastics_and_rubber_products,1077,92,69,878,75,1,17033,11747,749,322,813,1644,770,112,7552,13788,1262,544,1890,6733,6384,2361,19177,3071,3703,4509,5373,4656,5307,91,4490,635,289,1040,3569,84,1255,266,6703,140,122,3631,2009,23460,231,0,170,0,2092,15400,-18259,0,0,0,0,0,11,0,0,0,0,0,0,8,1149
327_Nonmetallic_mineral_products,8,53,601,144,57,21,44409,3729,733,0,827,221,4,228,1352,1373,14025,1167,951,1676,1705,2463,5001,168,462,944,121,711,62,22,1720,191,20,180,1700,196,539,134,3539,86,126,1278,757,7803,0,0,0,0,974,6759,-17024,0,0,0,0,0,0,0,0,0,0,0,0,0,217
331_Primary_metals,118,0,2268,283,59,0,2592,5205,199,0,320,345,51,14,36,1277,605,40028,46287,24160,11369,16808,32691,5345,3396,5197,708,236,461,0,561,1,608,52,387,11,197,42,171,116,13,46,125,2789,0,0,0,0,1399,13599,-57632,0,0,0,0,0,0,0,0,0,0,0,0,0,130
332_Fabricated_metal_products,951,118,2429,421,104,1019,49221,11599,1259,493,2439,3126,2012,140,6826,6099,2350,3292,23573,20413,18370,9916,28872,7099,3151,3985,992,1557,2866,98,9598,103,340,682,3058,331,1630,192,928,489,273,1548,1503,8886,6795,0,0,0,3442,17999,-27105,0,916,0,0,0,347,0,0,0,365,0,0,323,2679
333_Machinery,3739,435,4071,2150,634,242,21112,1731,69,71,411,900,1853,53,2020,1655,279,1336,3024,28925,1137,2509,16262,3446,121,828,783,801,794,137,2489,270,271,732,2085,138,2210,905,581,82,53,342,2574,7770,152362,0,0,0,4553,70884,-78517,0,865,0,0,0,262,0,0,0,4095,0,0,16,1123
334_Computer_and_electronic_products,417,2,34,22,18,28,4165,1774,1263,127,650,628,2099,96,2995,1613,1004,1146,2890,7068,158742,5187,14047,9937,861,2544,3292,2001,346,65,20557,1538,141,211,10866,2979,2695,1677,3129,63,817,173,2084,54991,195451,0,128,0,12450,147803,-217882,0,13467,0,0,0,4498,0,0,0,14790,0,0,0,7447
335_Electrical_equipment_appliances_and_components,366,203,62,13,18,4,22952,564,120,112,979,299,159,58,730,1050,113,1290,1819,9949,8437,10215,4280,1534,56,714,280,1178,307,74,3302,298,189,242,4497,94,1545,546,465,103,267,495,1946,26333,17151,0,3051,0,2069,21469,-40630,0,450,0,0,0,508,0,0,0,1419,0,0,14,1094
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,760,136,432,522,50,5,1030,1942,246,10,698,696,369,51,917,441,557,483,1539,10988,3111,513,139584,3973,344,602,3159,6959,3698,444,3431,46,0,620,1427,316,3799,109,1288,301,94,461,7997,177009,177670,0,0,0,8443,63834,-183259,0,3897,0,0,0,212,0,0,0,11705,0,0,935,1896
3364OT_Other_transportation_equipment,0,11,0,14,0,0,12,0,0,0,40,0,0,0,0,0,0,0,38,486,0,0,207,35802,0,0,48,6,3691,0,1,0,0,0,48,1,38,0,129,84,0,0,97,15153,42983,0,0,0,-8812,53942,-31228,0,13967,0,0,0,3840,0,0,0,1213,0,0,5,12166
337_Furniture_and_related_products,12,0,0,0,0,0,11462,0,0,0,1878,1,0,0,0,392,1,0,0,398,503,3,21,151,2831,183,122,489,3,0,345,0,33,0,161,27,8,0,433,179,3,197,163,34265,29739,0,356,0,1658,2704,-17053,0,0,0,0,0,19,0,0,0,1487,0,0,942,0
339_Miscellaneous_manufacturing,158,3,14,17,2,0,1309,29,229,510,17,1,41,3,393,177,440,31,39,2310,20,1029,1688,81,61,6803,1208,1025,358,49,349,611,292,64,1506,14,800,1151,21527,539,374,417,2610,73794,24656,0,0,0,3224,15719,-49356,0,44,0,0,0,61,0,0,0,837,0,0,0,274
42_Wholesale_trade,14095,2001,2342,1522,301,5733,33575,32373,4142,5227,5594,8683,3705,6193,20299,8199,3576,10882,9337,14724,27474,8410,28144,4686,3407,5892,22651,13405,10419,158,12209,4514,1657,6103,6866,865,4885,2056,20456,1062,1628,6318,4596,257458,89406,6030,1294,26,5259,72395,21123,0,3017,122,0,0,1003,142,0,0,4072,562,0,619,3943
441_Motor_vehicle_and_parts_dealers,10,2,36,54,7,5,684,350,47,2,79,117,66,0,187,66,100,60,114,862,256,1,1329,445,48,120,42,1286,433,15,490,10,97,120,147,0,380,0,0,7,11,28,1436,99566,14368,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445_Food_and_beverage_stores,58,0,0,0,0,130,107,6,0,0,0,1,48,0,23,2,6,0,1,2,1,1,7,0,4,4,8,52,265,0,6,9,23,3,14,0,54,13,12,21,27,1385,22,127392,145,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452_General_merchandise_stores,103,0,4,4,0,77,964,80,169,1,10,13,377,2,116,16,12,3,14,61,23,10,111,22,49,42,44,189,174,1,60,53,108,14,82,0,103,89,50,10,90,384,191,124992,2247,97,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481_Air_transportation,23,0,9,43,27,1472,172,875,93,89,228,302,626,89,555,612,250,269,941,611,621,113,416,92,200,362,2068,206,1645,4,2900,5282,3361,699,6039,161,3476,334,1962,216,192,657,383,82641,124,10,1,0,7,23843,-20199,0,7,0,0,0,2,0,0,0,7,1,0,1216,3476
482_Rail_transportation,861,63,131,516,11,4729,1144,2796,79,8,675,1559,163,172,2230,885,1164,1877,490,296,225,263,835,107,211,221,122,123,2886,13,272,120,129,25,247,13,176,27,217,18,35,179,67,4099,1585,0,14,0,100,4412,134,0,48,0,0,0,3,0,0,0,106,0,0,90,235
483_Water_transportation,208,8,138,30,3,95,272,578,31,1,2,47,2,11,288,36,74,174,33,17,58,23,16,20,4,14,18,16,39,0,8,4,7,4,157,39,25,41,67,3,2,9,8,8255,7,0,0,0,11,5537,6557,0,2,0,0,0,1,0,0,0,0,0,0,1376,1694
484_Truck_transportation,3140,378,433,284,102,519,9249,10912,824,298,876,977,434,2509,3482,1567,2004,2370,1638,2429,4470,1290,6257,1583,612,993,2358,6371,15317,45,2363,342,251,249,1556,229,874,386,2925,333,232,975,1054,57367,18345,317,448,11,1246,14303,1201,0,285,6,0,0,89,7,0,0,572,30,0,830,1297
485_Transit_and_ground_passenger_transportation,0,2,1,3,5,207,268,172,11,15,47,62,130,18,118,125,48,47,202,130,127,21,87,17,42,82,194,68,192,0,752,1582,949,224,2056,42,980,115,1000,740,54,196,79,18922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
486_Pipeline_transportation,68,9,3430,17,2,10591,137,20,24,2,6,10,19,4220,308,15,5,9,10,13,9,7,3,1,2,7,17,20,312,0,11,60,14,7,13,8,66,3,20,6,8,19,14,945,0,0,0,0,-87,577,0,0,0,0,0,0,0,0,0,0,0,0,0,58,77
487OS_Other_transportation_and_support_activities,0,80,9,368,0,3558,0,550,54,0,489,346,509,249,126,455,406,85,77,5,2,10,7,0,94,261,19604,8086,46560,212,6510,3041,0,1356,7195,157,2673,259,2419,562,102,312,1136,7551,0,0,0,0,0,4846,2037,0,0,0,0,0,0,0,0,0,0,0,0,288,12
493_Warehousing_and_storage,578,0,2,64,0,775,0,93,53,35,39,58,147,22,176,86,50,36,387,175,662,30,75,21,44,213,4991,15165,1981,1580,1364,43,15,213,679,3,559,47,481,92,122,395,176,855,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,-20,127
4A0_Other_retail,1406,8,23,131,1,2362,50132,533,593,6,268,70,1654,40,1575,94,12,6,77,211,102,84,450,32,375,308,257,1366,5418,2,254,283,701,48,435,0,401,88,378,218,539,6217,977,398335,24826,2502,6529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11
511_Publishing_industries_except_internet_includes_software,46,1,8,0,0,144,212,12,0,0,2,4,81,1,83,15,5,5,48,25,185,32,20,16,4,37,584,681,132,10,19327,964,251,650,3379,781,1134,339,1734,57,127,138,650,62700,0,47910,0,0,2433,18480,-2962,0,0,814,0,0,0,946,0,0,0,3753,0,22,597
512_Motion_picture_and_sound_recording_industries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,343,84,0,38794,20,35,902,793,80,25,844,256,114,171,284,558,33766,0,30526,0,0,92,9260,-2864,0,0,0,0,0,0,0,0,0,0,0,0,2,601
513_Broadcasting_and_telecommunications,378,46,382,99,49,1735,6574,918,123,209,264,310,696,90,854,683,277,223,1225,1299,2172,286,663,201,265,602,10586,10296,3787,83,118705,17723,9599,1445,19230,3097,8686,1277,7331,1012,1147,3346,4226,180559,7915,13474,0,0,0,6880,-122,0,0,0,0,0,0,0,0,0,0,0,0,418,3605
514_Data_processing_internet_publishing_and_other_information_services,0,0,28,3,3,1516,458,684,104,134,251,322,256,37,429,393,241,206,889,895,1097,176,221,140,219,408,1269,4120,299,9,5614,6292,273,1338,6130,1189,5728,457,1149,343,183,919,1080,3890,0,5269,0,0,0,1985,-262,0,0,417,0,0,0,359,0,0,0,844,0,329,4810
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,824,161,1521,317,136,10895,6209,2502,309,412,283,359,656,218,1320,1503,596,594,1496,1074,1474,369,932,183,332,648,9360,12341,7605,81,7025,79421,83648,11275,16561,7278,6205,1053,7457,825,948,2707,13221,115350,0,0,0,0,0,11849,-35,0,0,0,0,0,0,0,0,0,0,0,0,2132,164
523_Securities_commodity_contracts_and_investments,289,79,1327,5066,2245,1792,3210,474,70,68,99,101,220,61,150,333,135,1529,3307,2779,1083,835,1621,353,728,1624,1734,1758,13876,10,1979,132788,4644,1731,4253,3472,1793,793,4606,405,2581,6739,12199,121458,0,0,0,0,0,17488,-44,0,0,0,0,0,0,0,0,0,0,0,0,139,113
524_Insurance_carriers_and_related_activities,1660,366,1798,305,92,546,160,1210,379,737,110,185,145,81,1495,335,427,224,502,858,2725,708,816,200,198,393,5624,4079,4651,75,1922,119991,17541,2016,5757,146,3221,447,15500,1186,618,1391,1042,206258,0,0,8833,0,0,4037,-10958,0,0,0,0,0,0,0,0,0,0,0,0,111,7414
525_Funds_trusts_and_other_financial_vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6229,0,0,0,3,0,0,0,0,0,0,0,98609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,2017,251,12537,839,320,3591,13489,3829,312,1310,324,1006,1151,303,5923,1239,634,669,2944,2305,5216,1048,1744,557,281,1640,8831,6697,17088,93,21324,20021,1744,4382,13072,7218,6159,1010,4881,1267,997,3853,732,74277,0,0,0,0,0,31935,0,0,0,0,0,0,0,0,0,0,0,0,0,115,262
5411_Legal_services,204,118,865,338,154,5876,4352,707,110,123,229,205,206,139,1486,457,169,173,640,903,1520,229,653,546,166,621,4423,2572,1344,29,7522,13430,8606,389,12084,3872,3596,198,6910,1022,718,1292,1773,65275,0,0,20622,0,0,4782,-784,0,0,0,0,0,0,0,0,0,0,0,0,722,642
5412OP_Miscellaneous_professional_scientific_and_technical_services,1090,687,2260,1098,413,13777,31468,11302,1229,2454,1724,2192,3021,640,8866,4204,1647,2129,7824,5873,11333,2162,2770,1810,2047,5456,34650,50580,8798,167,78000,66237,26312,6705,100863,19755,22875,1934,28083,8001,5883,16732,10213,33387,31708,200290,2079,0,0,37477,-23060,0,0,34197,0,0,0,43219,0,0,0,8621,0,673,18495
5415_Computer_systems_design_and_related_services,195,57,1359,56,3,1772,2519,942,165,210,217,282,1020,359,1104,551,183,237,1133,2162,4701,130,434,321,303,452,3478,4001,962,27,9782,10662,1061,352,12659,6558,4885,463,4407,408,375,992,1271,0,12383,100335,0,0,0,5174,-7458,0,892,4686,0,0,0,10110,0,0,652,4313,0,177,15103
55_Management_of_companies_and_enterprises,0,0,4865,1101,104,11,3665,16995,1064,819,573,1886,592,2278,21196,1844,1401,921,5217,9916,10858,985,9865,2170,489,3392,19997,22871,4549,64,9181,8460,825,2031,17703,17,16933,1110,12557,1757,4929,20945,2936,0,0,0,0,0,0,2488,0,0,0,0,0,0,0,0,0,0,0,0,0,435,0
561_Administrative_and_support_services,386,78,423,271,108,5498,4902,3666,810,4328,817,1423,2773,408,3261,1856,1091,2877,4504,2596,8018,708,1566,1419,430,1069,18041,16460,24517,302,32188,26633,67769,8682,45972,3387,21197,1333,25169,3162,2703,5139,5656,30988,0,0,0,0,0,729,-480,0,0,0,0,0,0,0,0,0,0,0,0,1894,6918
562_Waste_management_and_remediation_services,244,43,500,88,18,612,2044,889,89,66,111,269,149,103,908,372,158,402,429,242,633,91,259,72,119,146,1045,2284,462,93,495,1430,4940,294,982,334,7495,290,1952,494,959,1892,997,10957,0,0,0,0,0,16,-59,0,0,0,0,0,0,0,0,0,0,0,0,82,379
61_Educational_services,86,42,0,0,0,139,1,0,0,0,0,0,39,2,0,0,0,0,0,0,0,0,0,0,0,0,261,966,26,1,283,2,0,0,34,0,8,1001,43,215,0,0,670,160891,0,0,0,0,0,714,-520,0,0,0,0,0,0,0,0,0,0,0,0,6,343
621_Ambulatory_health_care_services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,47,0,16887,65,0,0,66,447317,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132
622_Hospitals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7027,0,0,0,0,395256,0,0,0,0,0,160,-1121,0,0,0,0,0,0,0,0,0,0,0,0,0,0
623_Nursing_and_residential_care_facilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1319
624_Social_assistance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
711AS_Performing_arts_spectator_sports_museums_and_related_activities,39,6,0,0,1,102,78,115,16,14,31,44,63,19,52,87,24,35,100,67,33,11,39,9,17,36,538,667,331,16,13457,1252,1644,141,3067,1290,1138,269,507,7525,126,1019,865,30050,0,2439,0,0,0,515,-119,0,0,0,0,0,0,0,0,0,0,0,0,24,433
713_Amusements_gambling_and_recreation_industries,22,1,0,1,2,73,84,45,2,3,13,16,36,5,28,34,12,12,53,32,31,4,21,4,11,21,161,175,1,0,217,440,256,40,576,202,335,21,206,22,48,90,26,92143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,1486
721_Accommodation,4,0,4,13,22,1605,141,697,69,66,187,246,587,74,479,524,190,185,808,521,500,97,351,67,164,347,857,198,176,19,3501,7047,4227,799,7999,300,3879,325,2180,189,245,911,535,65545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,940
722_Food_services_and_drinking_places,301,57,37,17,47,3807,302,641,77,122,169,210,638,103,344,449,140,163,555,453,660,131,231,48,103,239,2050,2622,6915,10,2404,7230,10200,1336,14927,2394,7769,412,8720,434,11524,1302,1056,341581,0,0,0,0,0,1822,0,0,0,0,0,0,0,0,0,0,0,0,0,448,168
81_Other_services_except_government,364,873,173,92,93,2320,6357,3108,491,200,938,1666,1022,129,3555,1703,1206,2155,2389,1537,3250,634,1195,360,381,697,10535,9569,15046,119,13564,18576,11417,5862,10250,5778,9047,1025,8557,2020,1266,6005,18550,344020,0,0,0,0,0,256,-1800,0,0,0,0,0,0,0,0,0,0,0,0,1513,1404
GFE_Federal_government_enterprises,23,11,0,10,0,685,6,0,3,0,0,0,313,71,208,0,0,29,95,929,212,765,0,0,0,45,11250,5863,5962,86,4302,7127,305,872,3979,200,1902,478,2609,308,1217,3774,1668,8305,0,0,0,0,0,277,-431,0,0,0,0,0,0,0,0,0,0,0,0,7,440
GFGD_Federal_general_government_defense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309155,0,0,0,0,0,0,0,0,0,0,0,0,0
GFGN_Federal_general_government_nondefense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166526,0,0,0,0,0,0,0,0,0
