"","","","","","","","","",""
"TABLE 1","","","","","","","","",""
"","","","","","","","","",""
"Code","Description","Period of Price Change","Rank
For
ward
Link
ages","Yearly
Price
Change
( % )","Share
of Per
sonal
Con
sump
tion","CPI
Total","CPI
Direct","CPI
Indi
rect","Rank
CPI
Im
pact"
"483","Water
transportation","Yearly price change from
2020 Q4 to 2021 Q4","60","19.21","0.18","0.04","0.03","0.01","47"
"","","Yearly price change from
2021 Q2 to 2022 Q2","60","11.31","0.18","0.02","0.02","0.00","55"
"","","Sectoral price volatility
2000-2019","64","0.84","1.22","0.01","0.01","0.00","47"
"713","Amusements ,
gambling , and
recreation","Yearly price change from
2020 Q4 to 2021 Q4","64","3.50","1.22","0.04","0.04","0.00","43"
"","industries","Yearly price change from
2021 Q2 to 2022 Q2","64","5.63","1.22","0.07","0.07","0.00","38"
"","","Sectoral price volatility
2000-2019","68","0.59","1.64","0.01","0.01","0.00","48"
"624","Social assistance","Yearly price change from
2020 Q4 to 2021 Q4","68","5.91","1.64","0.10","0.10","0.00","32"
"","","Yearly price change from
2021 Q2 to 2022 Q2","68","4.45","1.64","0.07","0.07","0.00","37"
"","","Sectoral price volatility
2000-2019","19","0.73","0.58","0.01","0.00","0.01","49"
"514","Data processing ,
internet
publishing , and","Yearly price change from
2020 Q4 to 2021 Q4","19","0.98","0.58","0.01","0.01","0.01","60"
"","other information
services","Yearly price change from
2021 Q2 to 2022 Q2","19","0.98","0.58","0.01","0.01","0.01","61"
"","","Sectoral price volatility
2000-2019","33","1.08","0.61","0.01","0.01","0.00","50"
"711AS","Performing arts ,
spectator sports ,
museums , and","Yearly price change from
2020 Q4 to 2021 Q4","33","3.65","0.61","0.03","0.02","0.01","48"
"","related activities","Yearly price change from
2021 Q2 to 2022 Q2","33","-0.27","0.61","0.00","0.00","0.00","69"
"","","","","","","","","",""
"","","","","","","","","",""
"TABLE 11","","","","","","","","",""
"","","","","","","","","",""
"Code","Description","Period of Price Change","Rank
For-
ward
Link
ages","Yearly
Price
Change
( % )","Share
of Per
sonal
Con
sump
tion","CPI
Total","CPI
Direct","CPI
Indi
rect","Rank
CPI
Im
pact"
"","","Sectoral price volatility
2000-2019","48","1.00","0.72","0.01","0.01","0.00","51"
"511","Publishing
industries , except
internet ( includes","Yearly price change from
2020 Q4 to 2021 Q4","48","-1.13","0.72","-0.01","-0.01","0.00","69"
"","software )","Yearly price change from
2021 Q2 to 2022 Q2","48","-0.21","0.72","0.00","0.00","0.00","68"
"","","Sectoral price volatility
2000-2019","52","2.42","0.28","0.01","0.01","0.00","52"
"335","Electrical
equipment ,
appliances , and","Yearly price change from
2020 Q4 to 2021 Q4","52","11.51","0.28","0.04","0.03","0.01","44"
"","components","Yearly price change from
2021 Q2 to 2022 Q2","52","15.30","0.28","0.06","0.04","0.01","43"
"","","Sectoral price volatility
2000-2019","61","0.86","1.02","0.01","0.01","0.00","53"
"315AL","Apparel and
leather and allied
products","Yearly price change from
2020 Q4 to 2021 Q4","61","4.67","1.02","0.05","0.05","0.00","40"
"","","Yearly price change from
2021 Q2 to 2022 Q2","61","6.65","1.02","0.07","0.07","0.00","39"
"","","Sectoral price volatility
2000-2019","34","3.64","0.06","0.01","0.00","0.01","54"
"113FF","Forestry , fishing ,
and related
activities","Yearly price change from
2020 Q4 to 2021 Q4","34","6.03","0.06","0.01","0.00","0.01","59"
"","","Yearly price change from
2021 Q2 to 2022 Q2","34","6.14","0.06","0.01","0.00","0.01","60"
"","","Sectoral price volatility
2000-2019","32","4.29","0.04","0.01","0.00","0.01","55"
"321","Wood products","Yearly price change from
2020 Q4 to 2021 Q4","32","22.69","0.04","0.05","0.01","0.04","41"
"","","Yearly price change from
2021 Q2 to 2022 Q2","32","10.88","0.04","0.02","0.00","0.02","57"
"","","","","","","","","",""
"","","","","","","","","",""
"TABLE 12","","","","","","","","",""
"","","","","","","","","",""
"Code","Description","Period of Price Change","Rank
For-
ward
Link
ages","Yearly
Price
Change
( % )","Share
of Per
sonal
Con
sump
tion","CPI
Total","CPI
Direct","CPI
Indi
rect","Rank
CPI
Im
pact"
"","","Sectoral price volatility
2000-2019","53","1.79","0.31","0.01","0.01","0.00","56"
"485","Transit and
ground passenger
transportation","Yearly price change from
2020 Q4 to 2021 Q4","53","1.65","0.31","0.01","0.01","0.00","62"
"","","Yearly price change from
2021 Q2 to 2022 Q2","53","-1.44","0.31","-0.01","0.00","0.00","70"
"","","Sectoral price volatility
2000-2019","41","1.81","0.17","0.01","0.00","0.00","57"
"512","Motion picture
and sound
recording","Yearly price change from
2020 Q4 to 2021 Q4","41","-2.03","0.17","-0.01","0.00","-0.01","68"
"","industries","Yearly price change from
2021 Q2 to 2022 Q2","41","3.53","0.17","0.01","0.01","0.01","59"
"","","Sectoral price volatility
2000-2019","40","2.19","0.17","0.01","0.00","0.00","58"
"313TT","Textile mills and
textile product
mills","Yearly price change from
2020 Q4 to 2021 Q4","40","12.61","0.17","0.04","0.02","0.02","46"
"","","Yearly price change from
2021 Q2 to 2022 Q2","40","11.55","0.17","0.04","0.02","0.02","50"
"","","Sectoral price volatility
2000-2019","54","0.75","0.69","0.01","0.01","0.00","59"
"339","Miscellaneous
manufacturing","Yearly price change from
2020 Q4 to 2021 Q4","54","3.22","0.69","0.03","0.02","0.01","49"
"","","Yearly price change from
2021 Q2 to 2022 Q2","54","7.13","0.69","0.06","0.05","0.02","41"
"","","Sectoral price volatility
2000-2019","44","1.98","0.09","0.01","0.00","0.00","60"
"GFE","Federal
government
enterprises","Yearly price change from
2020 Q4 to 2021 Q4","44","8.53","0.09","0.03","0.01","0.02","50"
"","","Yearly price change from
2021 Q2 to 2022 Q2","44","6.89","0.09","0.02","0.01","0.02","56"
"","","","","","","","","",""
"","","","","","","","","",""
"TABLE 13","","","","","","","","",""
"","","","","","","","","",""
"Code","Description","Period of Price Change","Rank
For-
ward
Link
ages","Yearly
Price
Change
( % )","Share
of Per
sonal
Con
sump
tion","CPI
Total","CPI
Direct","CPI
Indi
rect","Rank
CPI
Im
pact"
"","","Sectoral price volatility
2000-2019","39","2.04","0.08","0.01","0.00","0.00","61"
"327","Nonmetallic
mineral products","Yearly price change from
2020 Q4 to 2021 Q4","39","9.57","0.08","0.02","0.01","0.02","52"
"","","Yearly price change from
2021 Q2 to 2022 Q2","39","10.58","0.08","0.03","0.01","0.02","52"
"","","Sectoral price volatility
2000-2019","28","0.97","0.00","0.00","0.00","0.00","62"
"5415","Computer
systems design
and related","Yearly price change from
2020 Q4 to 2021 Q4","28","-0.68","0.00","0.00","0.00","0.00","67"
"","services","Yearly price change from
2021 Q2 to 2022 Q2","28","0.32","0.00","0.00","0.00","0.00","64"
"","","Sectoral price volatility
2000-2019","49","2.57","0.02","0.00","0.00","0.00","63"
"486","Pipeline
transportation","Yearly price change from
2020 Q4 to 2021 Q4","49","9.67","0.02","0.02","0.00","0.02","58"
"","","Yearly price change from
2021 Q2 to 2022 Q2","49","12.14","0.02","0.02","0.00","0.02","58"
"","","Sectoral price volatility
2000-2019","50","1.54","0.06","0.00","0.00","0.00","64"
"323","Printing and
related support
activities","Yearly price change from
2020 Q4 to 2021 Q4","50","6.82","0.06","0.02","0.00","0.02","54"
"","","Yearly price change from
2021 Q2 to 2022 Q2","50","13.11","0.06","0.04","0.01","0.03","49"
"","","Sectoral price volatility
2000-2019","37","0.95","0.23","0.00","0.00","0.00","65"
"562","Waste
management and
remediation","Yearly price change from
2020 Q4 to 2021 Q4","37","3.91","0.23","0.02","0.01","0.01","56"
"","services","Yearly price change from
2021 Q2 to 2022 Q2","37","5.53","0.23","0.03","0.01","0.01","54"
"","","","","","","","","",""
"","","","","","","","","",""
"TABLE 14","","","","","","","","",""
"","","","","","","","","",""
"Code","Description","Period of Price Change","Rank
For-
ward
Link
ages","Yearly
Price
Change
( % )","Share
of Per
sonal
Con
sump
tion","CPI
Total","CPI
Direct","CPI
Indi
rect","Rank
CPI
Im
pact"
"","","Sectoral price volatility
2000-2019","59","0.96","0.38","0.00","0.00","0.00","66"
"337","Furniture and
related products","Yearly price change from
2020 Q4 to 2021 Q4","59","11.21","0.38","0.05","0.04","0.00","42"
"","","Yearly price change from
2021 Q2 to 2022 Q2","59","14.05","0.38","0.06","0.05","0.00","42"
"","","Sectoral price volatility
2000-2019","35","1.19","0.09","0.00","0.00","0.00","67"
"333","Machinery","Yearly price change from
2020 Q4 to 2021 Q4","35","8.36","0.09","0.02","0.01","0.02","51"
"","","Yearly price change from
2021 Q2 to 2022 Q2","35","13.42","0.09","0.04","0.01","0.03","48"
"","","Sectoral price volatility
2000-2019","43","0.88","0.16","0.00","0.00","0.00","68"
"33640T","Other
transportation
equipment","Yearly price change from
2020 Q4 to 2021 Q4","43","2.25","0.16","0.00","0.00","0.00","63"
"","","Yearly price change from
2021 Q2 to 2022 Q2","43","5.41","0.16","0.01","0.01","0.00","62"
"","","Sectoral price volatility
2000-2019","55","3.47","0.00","0.00","0.00","0.00","69"
"213","Support activities
for mining","Yearly price change from
2020 Q4 to 2021 Q4","55","5.81","0.00","0.00","0.00","0.00","64"
"","","Yearly price change from
2021 Q2 to 2022 Q2","55","10.34","0.00","0.00","0.00","0.00","65"
"","","Sectoral price volatility
2000-2019","69","1.78","0.00","0.00","0.00","0.00","70"
"GFGD","Federal general
government
( defense )","Yearly price change from
2020 Q4 to 2021 Q4","69","4.77","0.00","0.00","0.00","0.00","65"
"","","Yearly price change from
2021 Q2 to 2022 Q2","69","5.72","0.00","0.00","0.00","0.00","66"
"","","","","","","","","",""
"","","","","","","","","",""
"TABLE 15","","","","","","","","",""
"","","","","","","","","",""
"Code","Description","Period of Price Change","Rank
For-
ward
Link
ages","Yearly
Price
Change
( % )","Share
of Per
sonal
Con
sump
tion","CPI
Total","CPI
Direct","CPI
Indi
rect","Rank
CPI
Im
pact"
"","","Sectoral price volatility
2000-2019","71","1.14","0.00","0.00","0.00","0.00","71"
"GFGN","Federal general
government
( nondefense )","Yearly price change from
2020 Q4 to 2021 Q4","71","3.90","0.00","0.00","0.00","0.00","66"
"","","Yearly price change from
2021 Q2 to 2022 Q2","71","4.95","0.00","0.00","0.00","0.00","67"
