unit,induse,stk_flow,prod_na,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 
NR,CPA_A01,DOM,CPA_G47,EA19	0.02 	0.02 	0.02 	0.02 	0.02 	0.01 	0.02 	0.02 	0.02 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 
NR,CPA_A01,DOM,CPA_G47,EU27_2020	0.02 	0.02 	0.02 	0.02 	0.02 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_A01,DOM,CPA_G47,EU28	0.02 	0.02 	0.02 e	0.02 	0.02 	0.02 	0.02 	0.02 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 
NR,CPA_A01,DOM,CPA_H49,EA19	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 
NR,CPA_A01,DOM,CPA_H49,EU27_2020	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_A01,DOM,CPA_H49,EU28	0.01 	0.01 	0.01 e	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 
NR,CPA_A01,DOM,CPA_H50,EA19	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_H50,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_A01,DOM,CPA_H50,EU28	0 	0 	0 e	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_H51,EA19	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_H51,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_A01,DOM,CPA_H51,EU28	0 	0 	0 e	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_H52,EA19	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_H52,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_A01,DOM,CPA_H52,EU28	0 	0 	0 e	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_H53,EA19	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_H53,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_A01,DOM,CPA_H53,EU28	0 	0 	0 e	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_I,EA19	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_I,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_A01,DOM,CPA_I,EU28	0 	0 	0 e	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_J58,EA19	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_J58,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_A01,DOM,CPA_J58,EU28	0 	0 	0 e	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_J59_60,EA19	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_J59_60,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_A01,DOM,CPA_J59_60,EU28	0 	0 	0 e	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_J61,EA19	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_J61,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_A01,DOM,CPA_J61,EU28	0 	0 	0 e	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_J62_63,EA19	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_J62_63,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_A01,DOM,CPA_J62_63,EU28	0 	0 	0 e	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_K64,EA19	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 
NR,CPA_A01,DOM,CPA_K64,EU27_2020	0.01 	0.01 	0.01 	0.01 	0.02 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_A01,DOM,CPA_K64,EU28	0.02 	0.02 	0.02 e	0.02 	0.02 	0.02 	0.02 	0.02 	0.01 	0.02 	0.02 	0.01 	0.02 	0.02 	0.02 
NR,CPA_A01,DOM,CPA_K65,EA19	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 
NR,CPA_A01,DOM,CPA_K65,EU27_2020	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_A01,DOM,CPA_K65,EU28	0.01 	0.01 	0.01 e	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 
NR,CPA_A01,DOM,CPA_K66,EA19	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_K66,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_A01,DOM,CPA_K66,EU28	0 	0 	0 e	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_L68A,EA19	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_L68A,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_A01,DOM,CPA_L68A,EU28	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_L68B,EA19	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_L68B,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_A01,DOM,CPA_L68B,EU28	0 	0 	0 e	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_M69_70,EA19	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 
NR,CPA_A01,DOM,CPA_M69_70,EU27_2020	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_A01,DOM,CPA_M69_70,EU28	0.01 	0.01 	0.01 e	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 
NR,CPA_A01,DOM,CPA_M71,EA19	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_M71,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_A01,DOM,CPA_M71,EU28	0 	0 	0 e	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_M72,EA19	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_M72,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_A01,DOM,CPA_M72,EU28	0 	0 	0 e	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_M73,EA19	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_M73,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_A01,DOM,CPA_M73,EU28	0 	0 	0 e	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_M74_75,EA19	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 
NR,CPA_A01,DOM,CPA_M74_75,EU27_2020	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_A01,DOM,CPA_M74_75,EU28	0.01 	0.01 	0.01 e	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 
NR,CPA_A01,DOM,CPA_N77,EA19	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 
NR,CPA_A01,DOM,CPA_N77,EU27_2020	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_A01,DOM,CPA_N77,EU28	0.01 	0.01 	0.01 e	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 
NR,CPA_A01,DOM,CPA_N78,EA19	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 
NR,CPA_A01,DOM,CPA_N78,EU27_2020	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_A01,DOM,CPA_N78,EU28	0.01 	0.01 	0.01 e	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 
NR,CPA_A01,DOM,CPA_N79,EA19	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_N79,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_A01,DOM,CPA_N79,EU28	0 	0 	0 e	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_N80-82,EA19	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_N80-82,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_A01,DOM,CPA_N80-82,EU28	0 	0 	0 e	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
