commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,321_Wood_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,42_Wholesale_trade,44RT_Retail_trade,481_Air_transportation,482_Rail_transportation,483_Water_transportation,484_Truck_transportation,485_Transit_and_ground_passenger_transportation,486_Pipeline_transportation,487OS_Other_transportation_and_support_activities,493_Warehousing_and_storage,511_Publishing_industries_except_internet_includes_software,512_Motion_picture_and_sound_recording_industries,513_Broadcasting_and_telecommunications,514_Data_processing_internet_publishing_and_other_information_services,521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,523_Securities_commodity_contracts_and_investments,524_Insurance_carriers_and_related_activities,525_Funds_trusts_and_other_financial_vehicles,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,5411_Legal_services,5415_Computer_systems_design_and_related_services,5412OP_Miscellaneous_professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,561_Administrative_and_support_services,562_Waste_management_and_remediation_services,61_Educational_services,621_Ambulatory_health_care_services,622HO_Hospitals_and_nursing_and_residential_care_facilities,624_Social_assistance,711AS_Performing_arts_spectator_sports_museums_and_related_activities,713_Amusements_gambling_and_recreation_industries,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,GFG_Federal_general_government,GFE_Federal_government_enterprises,GSLG_State_and_local_general_government,GSLE_State_and_local_government_enterprises
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,2459,188,334,844,34,1888,10174,557,666,810,1130,1199,2295,868,1449,1416,610,561,1934,468,568,604,569,949,2010,804,7532,6572,2834,324,146,494,354,1368,1307,31,723,166,2402,281,24492,587,2032,1257,13573,3813,337,685,3826,2103,2055,152,253,1970,565,287,273,471,3484,3406,1381,1244,74,8293,262
523_Securities_commodity_contracts_and_investments,3,5,12,36,1,295,13,17,10,38,31,36,87,17,64,31,19,24,52,11,7,34,11,78,96,27,55,102,33,29,7,34,3,19,33,1,15,7,74,10,8400,5634,3001,15822,299,13,2,13,306,1364,97,7,230,13,77,176,1,3,11,22,349,1,21,2457,156
524_Insurance_carriers_and_related_activities,2744,146,30,124,5,1321,3102,186,188,355,344,350,463,141,730,232,98,173,549,134,115,351,232,266,552,269,570,827,376,72,7,1021,374,588,452,14,199,22,144,20,2670,125,79174,2113,20106,2521,228,5,271,113,192,992,318,1223,503,51,11,22,96,93,620,1589,74,1041,570
525_Funds_trusts_and_other_financial_vehicles,0,1,0,0,0,28,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,1,1,4,0,0,0,3,0,20,0,0,0,0,0,432,442,7241,0,330,98,7,0,1,0,10,83,0,31,0,0,0,0,0,0,0,0,0,0,0
531_Real_estate,9971,105,0,358,96,676,2392,125,217,119,553,525,1418,214,276,630,247,286,770,149,300,173,555,124,329,337,8293,23327,916,164,413,1389,243,394,763,292,1525,551,1964,608,5308,1371,4489,350,44893,921,4003,226,7916,927,2601,2,7542,6579,15387,1799,336,1471,1043,7989,10393,931,498,6018,774
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,537,246,11941,909,91,497,8621,305,434,713,841,870,1363,388,1025,921,278,516,1169,263,420,902,921,392,1119,643,6022,5521,966,628,93,2090,96,135,148,12,1989,117,1727,309,2828,184,962,107,1815,752,937,297,2672,1916,1879,26,513,3312,2554,80,425,245,824,889,1521,250,98,1993,220
5411_Legal_services,88,149,181,102,6,546,1295,89,127,148,242,285,976,210,509,615,91,299,406,105,115,70,348,133,712,134,2941,11345,362,64,23,147,117,47,538,43,931,114,764,173,1864,848,2518,212,4163,191,528,65,2893,1190,880,193,355,2325,1281,142,69,214,427,1846,848,549,9,2250,322
5415_Computer_systems_design_and_related_services,1,5,1,17,1,115,7,2,10,17,23,25,36,8,20,26,3,4,18,5,2,17,29,8,22,24,195,174,107,28,12,18,11,43,13,2,776,1,269,56,1410,194,204,6,16,294,17,234,1954,924,28,8,123,572,303,49,2,9,8,25,66,795,51,493,90
5412OP_Miscellaneous_professional_scientific_and_technical_services,475,283,1087,649,81,911,41225,937,1414,2536,2302,2947,4508,1683,5277,2503,1346,2530,10617,765,1556,912,959,728,10539,1482,16031,25160,1956,201,977,672,205,265,1299,94,3103,1270,2900,439,10930,1709,4108,779,11450,1577,4722,437,20078,7110,5357,165,2101,3307,3297,1307,1800,1221,2785,7508,7035,15209,341,8618,2211
55_Management_of_companies_and_enterprises,0,35,980,1129,1666,65,600,413,909,1247,2621,4419,5721,1367,2638,3027,684,921,11355,1093,1535,2113,1109,769,6513,1602,7305,16526,109,9,257,1418,248,13,20,2,1388,126,341,108,2062,164,518,1002,306,355,29,69,864,0,3337,21,158,2177,1479,243,63,497,796,8,1361,18,0,16,44
