industry,name,share_personal_consump,fl,rank_fl,price_shock_pct,impact_dir,impact_indir,impact_total,year,impact_rank
713,Amusements_gambling_and_recreation_industries,0.8024231008856538,1.0502638756050826,62,4.635441815548047,0.03719585595607089,0.001501789771270135,0.038697645727341023,1982,29
335,Electrical_equipment_appliances_and_components,0.5281031161010575,1.500246400764605,37,4.5600477843730225,0.024081754444971164,0.012180729496932916,0.036262483941904074,1982,30
326,Plastics_and_rubber_products,0.4020758723812167,1.7611787626190993,27,3.506064383371932,0.014097038955689822,0.021607493125684885,0.0357045320813747,1982,31
339,Miscellaneous_manufacturing,0.7784686647508903,1.30497621289525,49,3.515383027049346,0.02736615531155047,0.007105330787550357,0.03447148609910083,1982,32
325,Chemical_products,1.5334394551083421,3.68838259591742,3,1.0614818707304075,0.016277181814602196,0.014957298723804318,0.031234480538406516,1982,33
624,Social_assistance,0.7492391766716703,1.0004557975873904,65,4.162328127085857,0.03118579298975143,1.0394099219135155e-5,0.031196187088970564,1982,34
334,Computer_and_electronic_products,0.49512329146331424,2.1239302050428557,17,3.1495119805370564,0.015593967383066492,0.014585057255607435,0.030179024638673925,1982,35
42,Wholesale_trade,3.5583622498299263,4.150107589901778,2,0.4602661998611479,0.01637793870458585,0.01307481626313476,0.02945275496772061,1982,36
337,Furniture_and_related_products,0.5127915000293187,1.0664130184006608,61,5.198662429642553,0.026658299054424673,0.0017981867675498436,0.028456485821974516,1982,37
323,Printing_and_related_support_activities,0.08022032364985338,1.6705445003014066,30,5.04529775217013,0.0040473541858896565,0.02426703487958119,0.02831438906547085,1982,38
523,Securities_commodity_contracts_and_investments,0.5439240368652872,1.8002478337925747,26,4.696833505899489,0.025547206410129898,0.0023481475402461973,0.0278953539503761,1982,39
711AS,Performing_arts_spectator_sports_museums_and_related_activities,0.44693253380902337,1.319461309970605,48,5.157133878064113,0.023048909113155488,0.0033503160221353403,0.026399225135290832,1982,40
327,Nonmetallic_mineral_products,0.1291041353135868,1.6137756026381034,33,5.018367105107235,0.006478919457910176,0.019111889384942862,0.025590808842853034,1982,41
322,Paper_products,0.29992987135273386,2.6567320612283503,9,1.8643190056965242,0.005591649595390151,0.019691011111888892,0.025282660707279043,1982,42
512,Motion_picture_and_sound_recording_industries,0.31229269431851087,1.3917779297926958,46,5.417975602790581,0.016919941987474287,0.00811113100452468,0.02503107299199897,1982,43
487OS,Other_transportation_and_support_activities,0.06392683928547323,2.207116751856966,14,3.5207897851764036,0.0022507296275490777,0.022680404440529156,0.024931134068078235,1982,44
GFG,Federal_general_government,0.24469988730289427,1.0825735637585703,60,7.0801205126895805,0.017325046915460503,0.006709126955359489,0.02403417387081999,1982,45
485,Transit_and_ground_passenger_transportation,0.2860633840850798,1.1551151857206503,54,6.178156738352292,0.01767344423981096,0.006181334562439674,0.023854778802250634,1982,46
23,Construction,9.750855399537823e-5,1.5175953569756224,35,3.7105439892545444,3.6180977892845286e-6,0.018564856903370317,0.0185684750011596,1982,47
532RL,Rental_and_leasing_services_and_lessors_of_intangible_assets,0.21553525349337788,1.8790954161487954,23,3.5587274125336466,0.007670312149742723,0.010397182192715279,0.018067494342458003,1982,48
514,Data_processing_internet_publishing_and_other_information_services,0.004787296704432114,1.4789949539669283,39,9.986818799686947,4.780986472750201e-4,0.01633157744446012,0.01680967609173514,1982,49
313TT,Textile_mills_and_textile_product_mills,0.4733957858290766,1.9971310948386867,20,1.0652504736172075,0.00504285085062814,0.007883719567852814,0.012926570418480955,1982,50
211,Oil_and_gas_extraction,0.11463982338199277,3.5613967580233443,4,0.3435298658689634,3.938220314965763e-4,0.011394863641422802,0.011788685672919378,1982,51
5415,Computer_systems_design_and_related_services,0.009575285668994382,1.219369570590625,53,10.013047352342163,9.587778881584405e-4,0.008534106462272055,0.009492884350430495,1982,52
331,Primary_metals,0.02607433248185273,2.8743290948710514,6,0.7650389998931528,1.9947881244798162e-4,0.007066916852673448,0.0072663956651214294,1982,53
484,Truck_transportation,0.5454115275005995,1.865161421957877,25,0.5715723632180536,0.0031174215569988607,0.0030057669673500217,0.006123188524348882,1982,54
562,Waste_management_and_remediation_services,0.06602625269200195,1.3564624221605135,47,1.2282744830919956,8.109836139577018e-4,0.0022607298141378704,0.0030717134280955722,1982,55
493,Warehousing_and_storage,0.0074737903506813174,1.1231849243326901,57,0.4553673956944726,3.403320447956231e-5,0.001115098961402958,0.0011491321658825206,1982,56
213,Support_activities_for_mining,0.004389772388867682,1.1142698337036339,58,12.567475190344846,5.516835558835542e-4,5.469743454657946e-4,0.001098657901349349,1982,57
483,Water_transportation,0.1085739782503664,1.1430050143955792,56,0.4659889894637059,5.059427840694262e-4,0.00058209745337381305,0.0010880402374432393,1982,58
212,Mining_except_oil_and_gas,0.008659999361858812,1.8885411189833778,22,0.029650337802067384,2.567719064448018e-6,2.0055329633323295e-4,2.03121015397681e-4,1982,59
321,Wood_products,0.03447363088969141,1.6935946632219891,29,-1.103055886941362,-3.80263414971177e-4,-0.0030119460301703707,-0.003392209445141548,1982,60
525,Funds_trusts_and_other_financial_vehicles,0.5033407715920937,1.146594938566234,55,-1.7894521876754999,-0.00900704244871746,-8.406443997880823e-5,-0.00909110688869627,1982,61
113FF,Forestry_fishing_and_related_activities,0.07836592841026385,1.7557677908844658,28,-2.801468305422139,-0.0021953966466633453,-0.011570749924998555,-0.013766146571661898,1982,62
481,Air_transportation,0.8391766503373633,1.4412296383340206,42,-3.224967490247077,-0.027063174159124355,-0.008780270246344252,-0.035843444405468605,1982,63
111CA,Farms,0.9605234387175157,2.0989874715649797,18,-5.194121979447974,-0.04989075904817598,-0.14653540031920803,-0.19642615936738403,1982,64
324,Petroleum_and_coal_products,3.1070456635818275,4.348686586760471,1,-4.307828955716286,-0.1338462127631052,-0.09558409541168626,-0.2294303081747915,1982,65
