industry,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,321_Wood_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,GFG_Federal_general_government,GFE_Federal_government_enterprises,GSLG_State_and_local_general_government,GSLE_State_and_local_government_enterprises,Used_Scrap_used_and_secondhand_goods,Other_Noncomparable_imports_and_rest_of_the_world_adjustment
326_Plastics_and_rubber_products,0,0,0,0,0,0,3,1,23,0,7,15,2,1,0,0,5,48,0,24,0,15,1,0,59,5210,81,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,5,0
42_Wholesale_trade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401,0,0,5,2141,0,0,0,0,0,0,0,32077,0,35,0,0,0,0,535,10,0,8,0,0,0,0,0,1016,0,0,0,0,0,0
44RT_Retail_trade,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,34,3556,0,0,0,5,0,0,0,0,51695,100,0,0,159,0,0,10,0,0,0,0,0,0,1130,5929,0,0,0,0,0,0
48_Transportation,0,0,0,0,0,0,608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,34097,0,0,0,0,0,1,0,0,0,0,8,0,0,2,0,0,0,0,0,0
493_Warehousing_and_storage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51_Information,0,0,0,0,0,0,1478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17337,0,0,0,5482,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52_Finance_and_insurance,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
531_Real_estate,0,0,0,0,0,0,2428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54_Professional_scientific_and_technical_services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14811,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55_Management_of_companies_and_enterprises,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,9794,0,0,0,0,0,0,0,0,0,0,0,0,0
56_Administrative_and_waste_management_services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,0,0,0,0,0,0,3,0,4882,0,0,0,0,0,47,0,0,0,0,0,0
61_Educational_services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,355,0,0,2764,0,31,0,151,1,0,0,0,0,0,0
62_Health_care_and_social_assistance,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,35,0,0,0,12771,0,0,21,0,0,0,0,0,0,0
71_Arts_entertainment_and_recreation,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,30,0,0,3196,0,441,3,0,0,0,0,0,0
721_Accommodation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3160,411,0,0,0,0,0,0,0
722_Food_services_and_drinking_places,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,43,18,17254,0,0,0,0,0,5,0
81_Other_services_except_government,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539,0,0,0,0,0,0,5,0,0,0,0,0,0,365,18709,0,0,0,0,0,0
GFG_Federal_general_government,0,125,0,129,0,0,246,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,29,0,0,0,0,0,30,0,0,0,1385,0,0,19,46,0,0,0,0,50879,0,0,0,0,382
GFE_Federal_government_enterprises,0,0,0,0,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,2977,0,0,0,0
GSLG_State_and_local_general_government,0,52,0,7,0,18,517,0,0,0,0,0,0,0,0,0,0,0,17,0,0,3,21,0,0,0,0,0,0,0,4,194,0,0,533,0,426,348,711,133,165,320,8,0,0,26054,0,74,0
GSLE_State_and_local_government_enterprises,0,0,0,0,0,1244,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,648,0,0,0,382,0,0,0,0,0,0,0,0,0,18,0,0,0,1030,0,0
