industry,name,share_personal_consump,fl,rank_fl,price_shock_pct,impact_dir,impact_indir,impact_total,year,impact_rank
333,Machinery,0.24801401141746363,1.893971395768026,25,4.496119942187671,0.01115100742676019,0.027012825078319126,0.03816383250507931,1977,37
5411,Legal_services,0.7842728957441335,1.3596530119593409,46,3.198376827120268,0.025084002558865462,0.012989602753599058,0.03807360531246452,1977,38
561,Administrative_and_support_services,0.3361570640992321,1.8243467392439567,28,2.96199213880117,0.009956945812644065,0.01977620797333761,0.029733153785981677,1977,39
511,Publishing_industries_except_internet_includes_software,0.7944850578020387,1.416182265030675,42,2.4989857422817994,0.019854068319032258,0.009700897757147933,0.029554966076180193,1977,40
523,Securities_commodity_contracts_and_investments,0.3575893554982403,1.5568763031033412,35,7.741456619374936,0.027682624831398692,0.0011908089736762,0.028873433805074893,1977,41
5412OP,Miscellaneous_professional_scientific_and_technical_services,0.2165613421485129,1.9205742587006873,23,2.488641178132774,0.0053894347366248985,0.023169215141884886,0.028558649878509784,1977,42
486,Pipeline_transportation,0.0374419384585852,1.2806756380737518,50,7.478177664620168,0.002799974679010747,0.025326083140678905,0.028126057819689652,1977,43
721,Accommodation,1.0819992286258129,1.22560097253533,53,2.0344583484771217,0.02201282363723591,0.0033956512955663682,0.025408474932802284,1977,44
321,Wood_products,0.037525178872431966,1.816279268233136,29,6.828476436030738,0.002562397996882402,0.02182998640810961,0.024392384404992012,1977,45
487OS,Other_transportation_and_support_activities,0.06806584501235399,2.321749845686869,11,3.13250215154183,0.002132164059477116,0.022194125137123377,0.024326289196600494,1977,46
327,Nonmetallic_mineral_products,0.14884480303442468,1.7207500445591817,30,3.7689407272018265,0.0056098724018877714,0.01811773793622152,0.02372761033810929,1977,47
337,Furniture_and_related_products,0.6642665964342258,1.0787184309558415,60,3.2181256700183742,0.02137693385720718,0.0012994223883669937,0.022676356245574174,1977,48
525,Funds_trusts_and_other_financial_vehicles,0.45407827918407917,1.134380525743078,57,4.824138042902713,0.021905363010677154,1.233348750282905e-4,0.022028697885705446,1977,49
3364OT,Other_transportation_equipment,0.3271395530885515,1.7187850266203837,31,3.6418231432381885,0.011913843955064849,0.009240411538304943,0.02115425549336979,1977,50
23,Construction,5.5692272430231357e-5,1.6137141779326567,34,3.992257984849859,2.2233791930402476e-6,0.02051684530312733,0.020519068682320372,1977,51
532RL,Rental_and_leasing_services_and_lessors_of_intangible_assets,0.2245664854245682,1.6842461469708654,33,3.774835529096896,0.008477015478250803,0.011834037243525716,0.02031105272177652,1977,52
624,Social_assistance,0.6162385269521773,1.0003602594489427,65,2.855848458926395,0.01759883847527447,5.1505215388540575e-6,0.017603988996813324,1977,53
323,Printing_and_related_support_activities,0.07835404394774767,1.694886119284675,32,2.8044481862775767,0.002197398564367745,0.01460468946010649,0.016802088024474235,1977,54
485,Transit_and_ground_passenger_transportation,0.3851428813043891,1.166327232023904,55,3.259134402860777,0.012552324144760594,0.003610189987114822,0.016162514131875416,1977,55
713,Amusements_gambling_and_recreation_industries,0.7883685390865585,1.0620256697512636,61,1.8634772828243453,0.014691068630812187,6.697019649095108e-4,0.015360770595721697,1977,56
483,Water_transportation,0.13488333893489904,1.1773992922025627,54,5.032489091551886,0.006787989318219752,0.007736796061929903,0.014524785380149657,1977,57
493,Warehousing_and_storage,0.007325065434367322,1.1262291778189144,58,4.382190829238157,3.2099834570053896e-4,0.012712271629356127,0.013033269975056667,1977,58
562,Waste_management_and_remediation_services,0.05953413432139125,1.454518578158301,40,3.581892779043658,0.002132448858324065,0.006367790035069718,0.008500238893393783,1977,59
GFG,Federal_general_government,0.04057063502451408,1.2834348692122735,49,3.298229856684652,0.0013381127974250839,0.007090579020420787,0.008428691817845871,1977,60
711AS,Performing_arts_spectator_sports_museums_and_related_activities,0.4349198040010671,1.2927264394673355,48,1.5085403764591616,0.006560940848573146,9.509427478146688e-4,0.0075118835963878154,1977,61
512,Motion_picture_and_sound_recording_industries,0.3243017219767332,1.3601592887327472,45,1.6554987842000009,0.005368811064464484,0.002075345123925483,0.007444156188389966,1977,62
514,Data_processing_internet_publishing_and_other_information_services,0.002777145222291528,1.3611565688310547,44,2.770754744079871,7.694788299662999e-5,0.0036434797858712125,0.0037204276688678423,1977,63
5415,Computer_systems_design_and_related_services,0.0049093574688798755,1.1448091407283336,56,3.138789540344115,1.540943987313041e-4,0.0020322606764882484,0.002186355075219552,1977,64
213,Support_activities_for_mining,0.0020381464174459517,1.0611862704761903,62,9.931296996672685,2.0241437394360171e-4,2.014544564503307e-4,4.038688303939324e-4,1977,65
