industry,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996
332_Fabricated_metal_products,10.211,11.307,11.613,12.083,13.423,13.316000000000001,13.567,13.666,14.266,15.166,15.817,16.068000000000001,16.300999999999998,16.486000000000001,16.562999999999999,16.667000000000002,16.795000000000002,17.077000000000002,17.297000000000001,17.786000000000001,18.138999999999999,18.626000000000001,19.363,20.463000000000001,21.245000000000001,21.885000000000002,22.826000000000001,27.367999999999999,31.407,32.774000000000001,35.088999999999999,37.966000000000001,41.645000000000003,45.780999999999999,49.707999999999998,51.988,52.738999999999997,54.238999999999997,54.954000000000001,55.067999999999998,55.948999999999998,58.732999999999997,61.456000000000003,62.692999999999998,63.390999999999998,63.643000000000001,64.11,65.337999999999994,67.805999999999997,68.381
333_Machinery,14.454000000000001,15.683,16.39,17.045000000000002,18.672999999999998,18.847000000000001,19.303000000000001,19.594999999999999,20.236000000000001,21.765999999999998,23.1,23.532,24.166,24.488,24.614999999999998,24.777000000000001,24.908000000000001,25.09,25.216999999999999,25.608000000000001,25.754000000000001,26.234000000000002,26.664999999999999,25.616,24.018000000000001,22.443999999999999,23.192,26.556000000000001,31.03,33.061999999999998,35.287999999999997,38.023000000000003,41.527000000000001,46.753999999999998,51.292000000000002,54.27,55.66,56.835999999999999,57.731999999999999,58.405000000000001,59.182000000000002,60.98,63.469000000000001,65.631,67.417000000000002,68.668000000000006,69.906999999999996,71.171999999999997,73.019000000000005,74.31
334_Computer_and_electronic_products,166.00200000000001,163.56,158.36799999999999,190.364,241.56200000000001,259.55900000000003,276.39699999999999,245.51900000000001,271.26,306.52999999999997,317.93799999999999,298.38799999999998,349.45800000000003,355.404,357.51,354.84800000000001,355.88099999999997,353.99099999999999,355.05799999999999,366.39,372.53899999999999,377.09399999999999,380.08300000000003,385.73399999999998,386.72800000000001,385.90899999999999,387.767,401.09300000000002,422.61,431.11900000000003,436.04700000000003,445.10700000000003,454.48700000000002,473.976,484.202,499.452,489.41199999999998,486.98500000000001,465.84,449.95400000000001,443.173,443.54,441.08300000000003,430.30900000000003,423.70100000000002,409.36799999999999,395.87799999999999,383.351,353.92500000000001,316.04899999999998
335_Electrical_equipment_appliances_and_components,9.3710000000000004,9.3030000000000008,9.1999999999999993,11.67,13.516999999999999,14.914,16.504999999999999,15.102,16.602,18.23,19.062000000000001,18.606999999999999,22.024000000000001,23.126000000000001,22.923999999999999,22.768000000000001,22.614000000000001,22.552,22.545000000000002,22.966999999999999,23.553000000000001,24.106999999999999,24.556999999999999,25.620999999999999,26.216000000000001,26.440999999999999,27.245999999999999,31.498000000000001,35.195,36.854999999999997,38.832000000000001,41.122999999999998,44.933,49.939,53.573999999999998,56.017000000000003,57.737000000000002,59.265999999999998,60.356999999999999,60.584000000000003,62.284999999999997,64.873999999999995,67.852999999999994,69.200999999999993,69.953000000000003,70.150000000000006,70.503,71.433999999999997,73.224000000000004,73.400999999999996
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,16.63,18.178000000000001,19.529,19.488,20.501000000000001,21.765000000000001,21.712,21.765000000000001,22.521999999999998,23.715,24.677,25.309000000000001,25.946999999999999,25.71,25.719000000000001,25.798999999999999,25.725000000000001,25.895,26.009,26.241,26.704000000000001,27.498999999999999,28.285,29.428000000000001,30.710999999999999,31.93,32.531999999999996,35.689,40.46,43.034999999999997,45.969000000000001,49.31,53.429000000000002,58.789000000000001,66.302000000000007,70.486000000000004,72.260999999999996,73.787000000000006,75.338999999999999,76.866,78.132999999999996,79.438999999999993,81.614999999999995,83.326999999999998,85.837000000000003,87.581000000000003,89.283000000000001,91.257000000000005,92.578999999999994,93.43
3364OT_Other_transportation_equipment,10.478,11.337999999999999,11.726000000000001,12.13,13.478,13.51,13.776999999999999,13.929,14.464,15.595000000000001,16.408000000000001,16.699000000000002,17.053999999999998,17.198,17.225999999999999,17.236999999999998,17.196999999999999,17.32,17.510999999999999,17.829000000000001,18.256,18.754999999999999,19.565000000000001,20.785,21.521999999999998,22.216999999999999,23.256,25.89,29.276,31.568999999999999,33.968000000000004,36.085999999999999,39.567999999999998,43.843000000000004,48.911999999999999,53.14,55.746000000000002,57.8,58.51,58.11,58.604999999999997,59.856999999999999,62.058,63.545999999999999,64.899000000000001,66.31,68.087000000000003,69.483999999999995,70.778000000000006,71.766000000000005
337_Furniture_and_related_products,13.821999999999999,14.7,14.7,15.186,17.103000000000002,16.591999999999999,16.771999999999998,16.738,16.95,17.696000000000002,18.221,18.411000000000001,18.643000000000001,18.829000000000001,18.803000000000001,18.945,19.047000000000001,19.288,19.452999999999999,20.094000000000001,20.54,21.536000000000001,22.673999999999999,23.045999999999999,23.869,24.86,26.303999999999998,29.667999999999999,31.972999999999999,33.536999999999999,35.610999999999997,38.305999999999997,41.508000000000003,44.94,48.146999999999998,50.65,52.026000000000003,53.661999999999999,55.244,56.363999999999997,57.667999999999999,60.301000000000002,62.475999999999999,64.379000000000005,65.745999999999995,66.587999999999994,68.406999999999996,70.893000000000001,73.049000000000007,74.372
339_Miscellaneous_manufacturing,17.116,17.841999999999999,17.71,18.155000000000001,19.443000000000001,19.116,19.396000000000001,19.576000000000001,19.722000000000001,20.45,20.795999999999999,21.007000000000001,21.193999999999999,21.367999999999999,21.298999999999999,21.324999999999999,21.22,21.346,21.638999999999999,22.187000000000001,22.791,23.474,24.059000000000001,24.88,25.759,26.402000000000001,28.033999999999999,32.156999999999996,35.186999999999998,36.893000000000001,39.116999999999997,42.350999999999999,47.139000000000003,55.109000000000002,58.116,60.158999999999999,61.893000000000001,63.046999999999997,63.401000000000003,64.174999999999997,64.984999999999999,67.653000000000006,70.661000000000001,73.125,75.027000000000001,76.765000000000001,78.301000000000002,79.7,81.491,82.114000000000004
311FT_Food_and_beverage_and_tobacco_products,15.89,17.228000000000002,15.614000000000001,15.997999999999999,18.22,17.951000000000001,16.992999999999999,17.506,16.616,16.498000000000001,17.114000000000001,18.030999999999999,17.7,17.66,17.949000000000002,18.058,18.062999999999999,18.123999999999999,18.652000000000001,19.597999999999999,19.472999999999999,19.914999999999999,20.849,21.713000000000001,22.106999999999999,23.026,26.503,29.706,31.963000000000001,31.484999999999999,32.835999999999999,35.707999999999998,39.082999999999998,42.045999999999999,44.087000000000003,44.710999999999999,45.896999999999998,47.6,46.847999999999999,47.491999999999997,48.625,51.088999999999999,53.688000000000002,55.786000000000001,56.344999999999999,56.911999999999999,57.523000000000003,57.755000000000003,58.587000000000003,61.14
313TT_Textile_mills_and_textile_product_mills,32.588999999999999,34.334000000000003,31.074999999999999,33.273000000000003,37.594000000000001,33.078000000000003,31.983000000000001,30.617000000000001,30.683,30.606999999999999,30.478000000000002,29.588000000000001,30.17,30.477,29.72,30.184999999999999,30.273,30.696000000000002,30.933,31.178000000000001,31.061,32.619,33.149000000000001,33.222999999999999,33.451000000000001,35.506999999999998,39.423000000000002,46.122,44.848999999999997,47.883000000000003,48.981999999999999,50.783999999999999,53.756,59.031999999999996,64.397999999999996,65.084000000000003,65.207999999999998,66.957999999999998,66.536000000000001,66.911000000000001,68.322000000000003,71.233000000000004,72.930000000000007,74.417000000000002,75.248000000000005,75.876999999999995,75.843000000000004,76.123000000000005,78.593999999999994,79.722999999999999
